,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
0,257,1350,7005,120000,120000,120000,-2.9234182811175504,-2.3774260076200107,-1.696821616271045,0.3011759907334044
1,248,1359,7066,120000,120000,120000,-2.8228231145021256,-2.296848107927022,-1.6929028437632652,0.4840256880760623
2,148,1102,5989,120000,120000,120000,-2.899024291147104,-2.3051215828858647,-1.689688705292674,0.44617082004071973
3,331,1776,7976,120000,120000,120000,-2.755831202416494,-2.2119275113273185,-1.6308434423482892,0.472404513193663
4,148,953,5275,120000,120000,120000,-2.8729037869808947,-2.3143352466766016,-1.676438572210944,0.4254802803859876
5,200,1098,6018,120000,120000,120000,-2.8343729876573613,-2.33163197951082,-1.676018292975427,0.43865380814733207
6,230,1316,6965,120000,120000,120000,-2.8950155865848934,-2.3284238873153704,-1.6973257177203016,0.44891114476723426
7,137,868,5374,120000,120000,120000,-2.9471186891734957,-2.3892112785795376,-1.7012015713925002,0.39248466655216674
8,171,1147,5924,120000,120000,120000,-2.8928322126066717,-2.2904685887351937,-1.689191870527757,0.4457450646228839
9,142,996,5603,120000,120000,120000,-2.9927477840460983,-2.3843007200334134,-1.7049834459876207,0.32243386944744357
10,279,1637,8316,120000,120000,120000,-2.8157698800498494,-2.2745572978576676,-1.6229774789121876,0.4611751575651523
11,261,1410,7005,120000,120000,120000,-2.904431677522534,-2.3547095921750323,-1.7010784277177808,0.3486524923644208
12,164,1061,6000,120000,120000,120000,-2.9039268360359536,-2.3105033989775325,-1.6828893810197787,0.4531907534344422
13,222,1470,7449,120000,120000,120000,-2.876858296238675,-2.293691278306218,-1.6587330201405637,0.45199093087427716
14,272,1491,6959,120000,120000,120000,-2.9065827442761547,-2.3410321542048864,-1.6997040179522025,0.3026198341909617
15,236,1328,6638,120000,120000,120000,-2.820157511299408,-2.2462140735159797,-1.6390083661071992,0.44973818526678205
16,194,1186,6362,120000,120000,120000,-2.8072127558927455,-2.292884416923621,-1.665184562734165,0.45126416805169456
17,199,1168,6435,120000,120000,120000,-2.8403416697770636,-2.279204369541822,-1.6441612627317372,0.4603179065011967
18,219,1402,7022,120000,120000,120000,-2.980360948832021,-2.3650895051575676,-1.6904516252391861,0.27012534557034595
19,169,1019,5751,120000,120000,120000,-2.791418451803459,-2.2594337189848894,-1.619148364764606,0.461066950589455
20,406,1758,7365,120000,120000,120000,-2.692385477201909,-2.2468534633030126,-1.6781743277471999,0.46030026158291354
21,181,1195,6293,120000,120000,120000,-2.855452402179681,-2.289318376843888,-1.6528490496805133,0.45061238175464546
22,261,1550,7060,120000,120000,120000,-2.8390478573891587,-2.2801561645068436,-1.684391328884038,0.441351786296262
23,241,1273,6325,120000,120000,120000,-2.8103547055372164,-2.2634910336292515,-1.6550188682867977,0.4509801950597294
24,263,1411,7274,120000,120000,120000,-2.836811655526584,-2.312353185623482,-1.6707257040290147,0.44198223551723215
25,271,1543,7329,120000,120000,120000,-2.8459597224746216,-2.281962594182062,-1.6755971519242905,0.44610338007076017
26,258,1430,6925,120000,120000,120000,-2.843047565710444,-2.3095582086362936,-1.6957554164705981,0.4446943908112868
27,237,1253,6521,120000,120000,120000,-2.7504609146351955,-2.260273522830332,-1.648604907263738,0.4599020955089713
28,197,1084,5990,120000,120000,120000,-2.896488607692253,-2.3464261764122107,-1.7017836146971141,0.42758281679732557
29,159,1123,5977,120000,120000,120000,-2.8897476769486077,-2.301564143455649,-1.6963725255187754,0.44983722001522447
30,335,1725,8318,120000,120000,120000,-2.8836087242758968,-2.3358845993466635,-1.7009909587502585,0.4174977135127017
