,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading_1,factor_loading_2,factor_loading_3
61,240000.0,240000.0,240000.0,439.0,2676.0,13468.0,-2.796840265823444,-2.2610731464287435,-1.6331040526732545,0.44583077312307245,0.4571930584552236,0.46303619649861005
62,240000.0,240000.0,240000.0,330.0,2262.0,12291.0,-2.8764907570218026,-2.309141756010711,-1.6801479162489135,0.4486743470191331,0.44942469888291936,0.4528436978613749
63,240000.0,240000.0,240000.0,563.0,2833.0,13761.0,-2.7586694646667853,-2.2385893503154106,-1.6259903203224577,0.45092438574790267,0.4704515197965691,0.4654371735965708
64,240000.0,240000.0,240000.0,267.0,1999.0,11343.0,-2.841149218095797,-2.2739290168047015,-1.634156290388857,0.4602790313484803,0.45528001975907095,0.4493281884301348
65,240000.0,240000.0,240000.0,576.0,2829.0,14011.0,-2.8104441464283036,-2.3160827873000684,-1.6995605724898235,0.459295257011338,0.44924538352093685,0.4461614563866019
66,240000.0,240000.0,240000.0,568.0,2965.0,14566.0,-2.8048023519700553,-2.296384601788824,-1.6768041525955857,0.44846711422236996,0.45232306677186584,0.4468847119103065
67,240000.0,240000.0,240000.0,378.0,2382.0,12635.0,-2.852082000326023,-2.299570833008901,-1.6680228733719735,0.45247318649481605,0.45377696002534496,0.448588770494341
68,240000.0,240000.0,240000.0,340.0,2146.0,12210.0,-2.908202750142733,-2.3273364371385075,-1.6778942014754628,0.45001293893390165,0.4447285631915206,0.4434437933187275
69,240000.0,240000.0,240000.0,388.0,2526.0,13279.0,-2.8119477861243736,-2.2720235690964925,-1.6381758431419846,0.46244620248936136,0.4561175524625632,0.4496649989934804
70,240000.0,240000.0,240000.0,446.0,2454.0,12861.0,-2.8108163030723454,-2.2765631390130086,-1.656029021307311,0.46077818603044474,0.4538540966259732,0.4492037737393004
71,240000.0,240000.0,240000.0,455.0,2803.0,14421.0,-2.90305660602058,-2.3199067220635214,-1.6851670617827694,0.44666980227931397,0.44751932333832234,0.4486138207583294
72,240000.0,240000.0,240000.0,504.0,2490.0,12909.0,-2.764242635513936,-2.269504654652165,-1.6524944993015682,0.4523737489116816,0.45622164257508635,0.459777646399224
73,240000.0,240000.0,240000.0,410.0,2386.0,12455.0,-2.840548320640166,-2.294193129017917,-1.6651848220809518,0.44466254409025663,0.4605030438408132,0.4456351958406721
74,240000.0,240000.0,240000.0,372.0,2280.0,12263.0,-2.873351998998108,-2.3256821031286155,-1.6890147137244502,0.43001765649740104,0.4516602268710066,0.4611910713621139
75,240000.0,240000.0,240000.0,344.0,2273.0,11862.0,-2.872362821255891,-2.3049736487689527,-1.6821383895801172,0.45451535653811515,0.4489309378342164,0.45087005786242496
76,240000.0,240000.0,240000.0,470.0,2732.0,13807.0,-2.7729595061915466,-2.2486659696789233,-1.6168867485286782,0.4577808268844283,0.4640266732104299,0.4617443570169594
77,240000.0,240000.0,240000.0,194.0,1531.0,9401.0,-2.873762572670678,-2.278009056726262,-1.625024107751917,0.4463046499396306,0.45990806347609703,0.45630175022616926
78,240000.0,240000.0,240000.0,475.0,2846.0,14036.0,-2.8642030927800244,-2.3070125634480725,-1.690175063891833,0.4529664502267706,0.44911287793052856,0.44904582339763105
79,240000.0,240000.0,240000.0,513.0,2987.0,15014.0,-2.8613429889535427,-2.2951856092212033,-1.6636857596774262,0.43848271296080665,0.45772008168246975,0.45480783612583814
80,240000.0,240000.0,240000.0,374.0,2191.0,11924.0,-2.8170332363152224,-2.300878407113293,-1.6768583708436275,0.4715358037200019,0.4461700441458393,0.44915489686150395
81,240000.0,240000.0,240000.0,519.0,2820.0,13640.0,-2.7729679930015525,-2.2448594386233465,-1.6273840344843622,0.45361331120040815,0.4642041206921579,0.4635190139005183
82,240000.0,240000.0,240000.0,345.0,2292.0,12717.0,-2.862085641678186,-2.317954314555755,-1.6580682183681676,0.4517948265910283,0.4490413484954066,0.4480437031413206
83,240000.0,240000.0,240000.0,434.0,2681.0,13969.0,-2.8105475134054045,-2.2518423405237,-1.6115962611910475,0.4533626796876182,0.4593504822439214,0.46569507192778253
84,240000.0,240000.0,240000.0,248.0,1612.0,9178.0,-2.848777618559499,-2.2849247596156683,-1.6710612199324295,0.44968771695848864,0.45888409378689404,0.44600561676701306
85,240000.0,240000.0,240000.0,463.0,2759.0,14349.0,-2.8730957922678644,-2.320208007228329,-1.6803125091598714,0.45254612060433097,0.4497570733859908,0.4491077808565095
86,240000.0,240000.0,240000.0,384.0,2402.0,12623.0,-2.8463069198672737,-2.2857903629071776,-1.6587672360433605,0.4495261893131165,0.46177967815682186,0.44555571371047614
87,240000.0,240000.0,240000.0,372.0,2286.0,12146.0,-2.872334327013525,-2.3032884278749544,-1.6744608417069256,0.45519274257598674,0.4490091685945565,0.4488825409162721
88,240000.0,240000.0,240000.0,335.0,1888.0,10909.0,-2.8265488420689184,-2.2989438066875203,-1.6511876529227325,0.4505892403692734,0.4598488443183223,0.4472281486299544
89,240000.0,240000.0,240000.0,754.0,3393.0,15524.0,-2.736613443074165,-2.256332671821836,-1.644943620703153,0.44992650352634334,0.46700071364289475,0.45892039763603437
90,240000.0,240000.0,240000.0,409.0,2251.0,11953.0,-2.840482831308977,-2.3060665759366556,-1.6890161672090058,0.44630722970801473,0.44131042123305436,0.4592063539625413
91,240000.0,240000.0,240000.0,358.0,2311.0,12618.0,-2.858967423040978,-2.303911203138143,-1.663986602188451,0.4419456189064108,0.4592375629809099,0.44389425316407943
92,240000.0,240000.0,240000.0,482.0,2643.0,13199.0,-2.7708071655242286,-2.263542791145719,-1.6373018190035884,0.45787481731822355,0.46748806123042014,0.4537795553434135
93,240000.0,240000.0,240000.0,569.0,3031.0,14969.0,-2.818927514741711,-2.297874405391913,-1.6704726037197966,0.4508463509601808,0.4580953224742156,0.45252590029283346
94,240000.0,240000.0,240000.0,377.0,2268.0,12536.0,-2.8618650729308,-2.301182028010736,-1.6669445513183863,0.45022741357437857,0.45242909389965996,0.4460744440036355
95,240000.0,240000.0,240000.0,489.0,2660.0,13211.0,-2.778186071890207,-2.2637806769366584,-1.6507970858651804,0.4430591340189333,0.45892479000840924,0.45824929114072166
96,240000.0,240000.0,240000.0,485.0,2771.0,14233.0,-2.8751107195318344,-2.3163100208537264,-1.6901459599243038,0.4535820899620184,0.4470657030295672,0.44797791997970926
97,240000.0,240000.0,240000.0,499.0,3004.0,15026.0,-2.854882442668157,-2.294498498512075,-1.660717667089533,0.4445311820042822,0.4646496230610325,0.44227772482062067
98,240000.0,240000.0,240000.0,497.0,2652.0,13112.0,-2.773975186998162,-2.2579085303523083,-1.6440240486677817,0.44438505053202026,0.4677230229908923,0.45886711992996987
99,240000.0,240000.0,240000.0,402.0,2404.0,12967.0,-2.841024971966501,-2.279738433126992,-1.6482557748173825,0.45490749617974136,0.460549984950638,0.4428507555688117
