gamma_0,w_0,gamma_1,w_1,gamma_2,w_2
-2.832054257379137,0.4171543719385957,-2.188956525679458,0.4291482074733676,-1.5072366855773995,0.46690487135590214
-3.0468540024227346,0.41901286368140445,-2.411202904974325,0.3888875941899121,-1.7335385038417948,0.40764135624785686
-2.9200279443620203,0.43162939428888947,-2.205771539272578,0.3799306664289045,-1.5505898754088914,0.420664390686921
-2.9490523284080012,0.5452362172319566,-2.351458011964784,0.5655037668654253,-1.6620637147383848,0.4930740166818842
-3.072182164689216,0.41256348543003313,-2.4181417132227403,0.35090332044596195,-1.7196284570397675,0.3922486956640797
-3.008547226714156,0.4020511932042256,-2.3189084659001673,0.40706657645920213,-1.575027920495094,0.39522414294559755
-2.9371442349666395,0.37136760059286233,-2.4158158334515645,0.3584129293712042,-1.7279343223884187,0.42338277783536027
-2.9807962577708214,0.4468994709419377,-2.3802690840391585,0.5030511598359442,-1.6888405009799716,0.41381273514276884
-2.811083306566272,0.5349113166449521,-2.273434650942775,0.48215991963980354,-1.6304804205924204,0.5230023176670379
-2.9613938898457715,0.44669871520574195,-2.378144623280705,0.42403033935128936,-1.6658163429547523,0.4814326341841715
-3.129674664674361,0.2700093443949095,-2.391055785778313,0.3603402837607388,-1.6620637147383848,0.35192401408548635
-2.9807962577708214,0.3503412921510048,-2.459837335382783,0.4336790390571407,-1.7477922949929718,0.441106404168775
-3.0309941133896987,0.4415576760709466,-2.415815833451565,0.4350621180804701,-1.692766088306019,0.4364589720531457
-2.9490523284080012,0.3744956032666946,-2.369752422366986,0.42980936245078416,-1.6608180245314887,0.4454440313668019
-2.9551668474978383,0.3950071973767543,-2.224720607184207,0.47255001701492655,-1.5685621401507253,0.44911952552818585
-2.9807962577708214,0.32968665021039767,-2.292097805696466,0.3237573459371894,-1.6412284602096716,0.4066095463747561
-2.9371442349666395,0.441186179818712,-2.2701249980205227,0.5241310641221845,-1.6670724475435668,0.5111397591305271
-2.832054257379137,0.5732700528917651,-2.226211769317175,0.5151373792428761,-1.5826555271185836,0.4991003829915912
-2.8984601165495136,0.4292693999363733,-2.2367910466324274,0.4553068817754142,-1.594831146554299,0.4816166194749987
-3.008547226714156,0.4184660363427882,-2.384550518463989,0.4884680648658938,-1.6888405009799716,0.42681595355018737
-2.888162196227494,0.40289314723772635,-2.2784463084870357,0.3960944777988695,-1.5993178288170087,0.38893830411816377
-3.081081769057392,0.3524148605780509,-2.4066407211137473,0.353624592614359,-1.6953977102721358,0.41496818091190696
-2.8984601165495136,0.3364834782452143,-2.2523525778153344,0.4172805284765058,-1.5717868165098599,0.49454558711385926
-2.9371442349666395,0.40904363914899605,-2.26684002634316,0.39021609865055823,-1.556875699287657,0.44367651179716716
-3.081081769057392,0.323468470487632,-2.3976638410137365,0.34145208909797947,-1.7321323529079509,0.3737772633809847
-3.1403432269176275,0.26999122041015405,-2.343573470902684,0.3663954462431994,-1.6412284602096716,0.4351261211234703
-3.090232306167813,0.4342561925570444,-2.3554557554350586,0.385264055775279,-1.6595749061702603,0.3926346149116635
-2.858984164393865,0.37470176971932934,-2.241402727604945,0.3767167343168515,-1.5848518438340828,0.40709627809020776
-3.055080661867739,0.29639877280704763,-2.391055785778313,0.41871537149751653,-1.740621194616532,0.3530388255688148
-3.072182164689216,0.3731273906069276,-2.378144623280705,0.38875250560142954,-1.6746648890243256,0.4186122239440934
-2.811083306566272,0.4337157111808374,-2.197286376641052,0.4999560604413018,-1.5558237875745493,0.5227109831299195
-2.9551668474978383,0.3364722742789711,-2.3282280026491473,0.3609855493520656,-1.637624734782635,0.4609947746632997
-2.9371442349666395,0.5471580450899336,-2.273434650942775,0.4466379921965304,-1.621082250852408,0.4807423357590468
-2.9807962577708214,0.4001372254685563,-2.363566048072515,0.39973199313924607,-1.6533974573977754,0.4384984064796863
-2.903726613445106,0.4646750225259484,-2.241402727604945,0.48194386544589235,-1.5621612784293064,0.5037768365217172
-3.0233414397391476,0.30832449278653457,-2.4043782825986613,0.32301989034369966,-1.7100858444837372,0.37789512796317154
-3.063519428891386,0.3847660093569643,-2.3170685111862874,0.375894709443559,-1.6695925772881872,0.40184465388052487
-3.081081769057392,0.36465885641016177,-2.4043782825986613,0.47215280998603243,-1.696717936260391,0.43527352213057385
-3.0309941133896987,0.3401253651822784,-2.330116397477281,0.3748162377664188,-1.6485005398928658,0.4129986207559963
-3.1093491536764897,0.48858190049538525,-2.4043782825986613,0.4664651831861399,-1.7321323529079509,0.5112141990058933
-2.931342919798749,0.3759691420936511,-2.2277078980703684,0.3639637161653181,-1.5664213840045602,0.43697742364810443
-2.994383558342588,0.3193790636241736,-2.3574688291357644,0.4394968911077064,-1.6746648890243256,0.4192200794669844
-2.9677379253417833,0.3294520636358864,-2.3263478740408408,0.39947989808932793,-1.5993178288170087,0.4124793403443943
-3.129674664674361,0.26999065560509056,-2.391055785778313,0.3418212114209706,-1.6695925772881872,0.4077820393346849
-2.883125926315536,0.5496298722802343,-2.2352643355705313,0.5238225778344209,-1.561100670168985,0.49999385697619303
-2.8277595484479914,0.4228195951975962,-2.2684794522805993,0.4110216011351175,-1.552678337840756,0.4052642197261792
-3.0309941133896987,0.3958899866307336,-2.4135029495884783,0.4245246349714991,-1.7668700133309512,0.41211172528509576
-3.015861829206891,0.4053319991595262,-2.353452182117339,0.47208618633342697,-1.6633119893956478,0.4414122357649556
-2.9613938898457715,0.36596934432776757,-2.2750988607433644,0.4835207460004498,-1.6570963350340198,0.48237549907872196
-2.878161739095483,0.45265416151800947,-2.2367910466324274,0.503133121826784,-1.5547735945968535,0.5488762607285333
-3.038828518773989,0.3528697824207543,-2.429971743654562,0.4585768067679596,-1.7265417224986845,0.4412833466492894
-3.0233414397391476,0.24949096114612923,-2.3097860859972785,0.40609073185244154,-1.6608180245314887,0.4929815086951824
-2.9430461174127407,0.32789409516114476,-2.341624910132738,0.3496854835489925,-1.6460668331076016,0.38915493801518225
-2.8277595484479914,0.4078648595397571,-2.2217530385414936,0.44648891350889947,-1.556875699287657,0.48493663867259973
-3.015861829206891,0.41111151078618097,-2.3170685111862874,0.4699078384553182,-1.7033638416727146,0.4552733846159309
-2.931342919798749,0.4958564737131867,-2.3760308419612115,0.4039875381946592,-1.6810664921169058,0.4536158350996527
-3.063519428891386,0.33569337318208203,-2.457263390205437,0.2964471688072425,-1.7020286376679383,0.3548811507555884
-2.79128021044411,0.5865615748213348,-2.2188049076416023,0.5737825803466053,-1.591487083515361,0.5387595375506304
-2.9200279443620203,0.38801065409540114,-2.304403566359463,0.4001507591804255,-1.621082250852408,0.42668322555426
-3.015861829206891,0.5324897926765867,-2.427578428974786,0.4764196356141225,-1.7114395577093575,0.48351357941703976
-3.129674664674361,0.2700093443949095,-2.3932468761578614,0.37382889742407327,-1.7033638416727146,0.3616650446571205
-2.9742036996959538,0.43614760448474005,-2.3574688291357644,0.42133734243873533,-1.7182556223676182,0.48047371632315294
-3.0233414397391476,0.48291266352701717,-2.313411962618007,0.46629732649884514,-1.6222492046541608,0.43283536456429134
-2.858984164393865,0.41512305790360965,-2.255531298618817,0.4922510892083976,-1.5970704689971988,0.5062470388353496
-2.9430461174127407,0.40824515862316685,-2.2202765609095434,0.4502212643116422,-1.539222444602992,0.45371802624946544
-3.0233414397391476,0.3481523036419439,-2.3226121020539177,0.4071765918389931,-1.640024850899671,0.40129407236551573
-2.9807962577708214,0.3340951640168842,-2.3189084659001673,0.4400499230562954,-1.6281173751321274,0.42294271059543376
-3.081081769057392,0.323468470487632,-2.4228331018892777,0.3715058697547762,-1.7182556223676182,0.4148482084804169
-2.9807962577708214,0.4051809545408937,-2.288644777247584,0.36114667045261345,-1.5739457147782705,0.41456935590360916
-2.9371442349666395,0.4553457331671097,-2.3358319832387617,0.47937028266201387,-1.6187549435471056,0.5008486135137535
-3.0468540024227346,0.4467134129289494,-2.3396851998932906,0.40599557836338274,-1.6533974573977754,0.4156426556566564
-3.129674664674361,0.2700093443949095,-2.420480748498914,0.4032952405388933,-1.7434788818772846,0.3838085365531605
-2.893272804631303,0.5044891442601158,-2.2784463084870357,0.48182883081984995,-1.5771978828519115,0.5027296239899184
-2.9807962577708214,0.4357666378260251,-2.343573470902684,0.3964248240828163,-1.6292977606160322,0.4059781455512903
-2.819323429140995,0.5570138537798373,-2.2367910466324274,0.5966282801639125,-1.5925997930544324,0.5493833015559307
-3.008547226714156,0.3567301191248116,-2.2684794522805993,0.3875392072599224,-1.640024850899671,0.4645963625680995
-2.878161739095483,0.41745977278572144,-2.2818194835677286,0.47287572484714435,-1.6118251211466303,0.5263593875888527
-2.84977621028351,0.4302310299665885,-2.304403566359463,0.4823290922679524,-1.642434451834581,0.47208018512101324
-3.008547226714156,0.26048857808560494,-2.26684002634316,0.40756276864603275,-1.5793752973388915,0.42248753814549295
-3.0468540024227346,0.24452620871367908,-2.4547056226333197,0.3344959011813688,-1.740621194616532,0.36677653579497266
-2.903726613445106,0.42531390473897646,-2.332013138327099,0.47104206740229637,-1.6152803361558106,0.4274922204479965
-2.9613938898457715,0.44669871520499255,-2.384550518463989,0.444033895755621,-1.6304804205924204,0.47106057280048574
-3.0309941133896987,0.25907869635839725,-2.38670773449225,0.36615893765212004,-1.6533974573977754,0.436024220915742
-2.9430461174127407,0.4726565632382261,-2.2852188234935378,0.47234795996200374,-1.588160723565085,0.45822398320759694
-3.008547226714156,0.3055789855850457,-2.3282280026491473,0.36876944137280165,-1.7033638416727146,0.36223024876017784
