gamma_0,w_0,gamma_1,w_1,gamma_2,w_2
-2.817936728140291,0.41528553553465036,-2.2614188379405973,0.3544439155379462,-1.5775602660992074,0.4267548483979054
-3.0037587719098755,0.33718810482021033,-2.265750451027791,0.4190001252404623,-1.5717868165098599,0.41553645351723567
-3.0233414397391476,0.24585598551642604,-2.3468409812989526,0.3769021848088854,-1.6513522613502416,0.43367056937871606
-3.0037587719098755,0.33718810482027656,-2.3263478740408408,0.33027624895095226,-1.5863203130875156,0.4008367862961811
-3.2087069104350183,0.26999414159654594,-2.619727709810245,0.2307061351554913,-1.916249595173962,0.29956647440605655
-2.9677379253417833,0.44402863716278446,-2.379559736596614,0.37727541730152764,-1.6195297382400085,0.2967816144104745
-3.1746835274550755,0.26999282713843986,-2.362884228076346,0.2775693886401993,-1.6612329682193094,0.34814810746041125
-3.090232306167813,0.34270349669525546,-2.4892858647872385,0.38204890783647505,-1.8250068211464032,0.360492339562215
-2.9200279443620203,0.2849284842204006,-2.2048208740587714,0.33688577010013326,-1.5775602660992074,0.3873456387199801
-3.090232306167813,0.5213696941693144,-2.352121696491384,0.37486209896425404,-1.6448536269514729,0.3471494035543078
-2.8408037178631944,0.399059267502331,-2.197286376641052,0.4989065785962276,-1.5575779319737528,0.5587863681726322
-2.9677379253417833,0.35585367201121193,-2.3213740159111644,0.3750920591950351,-1.6226386806148483,0.34701317126487574
-3.115982208227871,8.883373731259593e-06,-2.3739276238981604,0.2799477339827729,-1.6612329682193094,0.40479744340405593
-3.090232306167813,0.5298918653291262,-2.3263478740408408,0.4508843471364187,-1.7279343223884187,0.48029253863999277
-3.341478956038596,0.2699973953780163,-2.4892858647872385,0.3678248790601277,-1.7784295480587435,0.37070664106975376
-2.985264369458184,0.45785845180613644,-2.3213740159111644,0.43799527579269476,-1.6133583946523027,0.42078426164239446
-3.1439802870690796,0.27000859453277687,-2.4028767994569202,0.32191181865287793,-1.6712785730694109,0.26330137441649915
-2.951078264072633,0.3727545801891963,-2.283515855137193,0.37804731469148667,-1.648094243828657,0.3452010918177453
-3.1746835274550755,0.2700071728615602,-2.3969244264643064,0.34016503974827517,-1.6679113141448385,0.34518362741890807
-2.935199468866706,0.4800546569234431,-2.2445038731653932,0.4174395810670797,-1.6320608567204946,0.3712273493596843
-2.8915608649993345,0.3563347735124552,-2.2202765609095434,0.47348445828380453,-1.5492013155604518,0.42158506981747684
-2.878161739095483,0.1767896733312088,-2.2010380067285755,0.3564279435881013,-1.5575779319737528,0.3747319495367537
-3.2087069104350183,0.27000585840347524,-2.368369821952345,0.39228885746843223,-1.648094243828657,0.38893812694831764
-3.2087069104350183,0.26999414159654594,-2.4471272216841555,0.4145752416701396,-1.7743819103449574,0.4568845126219451
-2.985264369458184,0.4221782464073043,-2.362884228076346,0.3256326306922363,-1.6320608567204946,0.43461595006753945
-2.9677379253417837,0.355853672010942,-2.2973291519727392,0.3939490251679755,-1.551981431400834,0.4489296294321415
-2.9200279443620203,0.4224195492529476,-2.2163627792243985,0.4460102241423778,-1.551981431400834,0.3547292528068669
-3.2905267314918945,0.2699964311524381,-2.528145970715647,0.4733495293924906,-1.8162415084791999,0.39896179833851647
-2.9200279443620203,0.48245174786139955,-2.4405068777749177,0.3997816705663902,-1.731664396122245,0.4423510507515745
-2.8070337683438042,0.29728951924254143,-2.1898745891597153,0.40878324584682024,-1.4883194549179164,0.3869679088105022
-2.776190335372457,0.3647509840870302,-2.1579292449315712,0.4086458189425087,-1.5273795175235874,0.46775324133957136
-3.587914672287933,0.26999946971112676,-2.544822390453442,0.29400040327420224,-1.7907505531699295,0.3724482734858673
-3.066381507545876,0.07225296259534558,-2.316456932309188,0.30796970242765,-1.6195297382400085,0.30301707503712516
