gamma_0,w_0,gamma_1,w_1,gamma_2,w_2
-2.9807962577708214,0.3540975077253465,-2.395449516829615,0.3141714221238617,-1.6620637147383848,0.328520087526052
-3.055080661867739,0.587284998427996,-2.4837692932505324,0.4421740716630079,-1.7168860184310404,0.4715638159330353
-3.151381655742279,0.26999177072504615,-2.4521638140532898,0.3200271344228609,-1.6472824669085204,0.3714361532392824
-2.8984601165495136,0.33085950249215834,-2.304403566359463,0.40580834295777685,-1.5260396107882266,0.48331815132068445
-3.008547226714156,0.15078876975526226,-2.4421519515770322,0.29583869449900724,-1.637624734782635,0.35797927399238083
-3.129674664674361,0.26999065560509056,-2.378144623280705,0.3332654751447564,-1.6797806567981286,0.3491842835325615
-2.9200279443620203,0.5010643619038507,-2.3739276238981604,0.5565140874387492,-1.7033638416727146,0.5696751684997521
-3.151381655742279,0.2700082292749539,-2.4181417132227403,0.3634244061216827,-1.7033638416727146,0.45715128941872474
-2.9677379253417833,0.32519181256517543,-2.250771713261278,0.4421158474927139,-1.561100670168985,0.4948706215369949
-3.151381655742279,0.2700082292749539,-2.5063059597918933,0.38194874022486863,-1.8316740304001806,0.4030354274231999
-2.994383558342588,0.4142127746211915,-2.26684002634316,0.38230520598666645,-1.62341837179581,0.4156512685604811
-3.008547226714156,0.31761111727355057,-2.4676584925406813,0.4441773754776182,-1.7477922949929718,0.42238670806999984
-3.090232306167813,0.24199703447408707,-2.500551793049049,0.32130533830855473,-1.68235511288794,0.40283427246168835
-3.151381655742279,0.2700082292749539,-2.3656181268642924,0.35222699428008775,-1.6901461375274702,0.43045705973080967
-2.9677379253417833,0.391313697466037,-2.3615238743101443,0.42403817535173577,-1.7363611334663744,0.4166510791063993
-2.9090749010480668,0.49804028964806746,-2.341624910132738,0.49297420453776625,-1.642434451834581,0.5631104487708245
-3.072182164689216,0.3781966535012589,-2.3739276238981604,0.40497360967093377,-1.6980411262644237,0.43201332347982624
-2.9807962577708214,0.5640989232345838,-2.4471272216841555,0.5658136813596097,-1.7449130810524893,0.5477376559199584
-2.8408037178631944,0.4969084803011277,-2.1469156180927325,0.5357557488327421,-1.5826555271185836,0.5475730196682069
-3.1093491536764897,8.391115286801034e-06,-2.5363960132149588,0.21438557443644427,-1.7624102978623897,0.28422844322307594
-3.072182164689216,0.48391818135469,-2.3339183061836266,0.476325703443314,-1.687537737044811,0.5323780457655932
-3.0233414397391476,0.4554579904225746,-2.3494731492712106,0.35732180777416617,-1.6695925772881872,0.39130082885982354
-2.9200279443620203,0.2908957686692825,-2.2539390914213655,0.3501778206380058,-1.591487083515361,0.44345490080224936
-2.9200279443620203,0.5247622211519161,-2.1807758452405013,0.48135347996753397,-1.510170202045823,0.5216642793821001
-3.2272184259631564,0.2700052426835577,-2.627558710105037,0.2720786597299042,-1.8807936081512509,0.40614012409216416
-3.0233414397391476,0.3857122285257134,-2.3377542529155857,0.3777196266042443,-1.6118251211466297,0.36557456631336643
-3.199848170827781,0.26999382325526383,-2.5622380757521497,0.4114706050502965,-1.8591914944718684,0.4250022079093516
-3.008547226714156,0.3285912265408238,-2.3079844749459575,0.49757419142169657,-1.6746648890243256,0.47201310880096314
-3.055080661867739,0.3982635879439426,-2.4372364082100915,0.4668908039933205,-1.6695925772881872,0.4305197970780569
-3.0233414397391476,0.33260944319860963,-2.3455309708066743,0.37408540723758404,-1.6721233555426238,0.36622480951431086
-3.072182164689216,0.39659228431284743,-2.4948792482923805,0.2811853606389097,-1.7196284570397675,0.4135184209707329
-3.199848170827781,0.2700061767447362,-2.5689743738873867,0.22195264056565103,-1.8919323116293087,0.2777178435505539
-3.1093491536764897,0.1784335470573083,-2.4948792482923805,0.31676949777412705,-1.8418301391308658,0.34996637519168405
-2.9200279443620203,0.4534013769335665,-2.2571292444862254,0.44606127486634584,-1.510170202045823,0.45652873697758606
-3.0233414397391476,0.3083244927868592,-2.437236408210091,0.308952508092214,-1.687537737044811,0.4099781906864264
-2.931342919798749,0.3266976446643314,-2.286928445121298,0.40008341508215034,-1.6049718491725016,0.4134832495640386
-3.0233414397391476,0.4056353470090037,-2.4323790585844467,0.39004032975575975,-1.62341837179581,0.47920584359106644
-2.79128021044411,0.46420655342265277,-2.1780810922893408,0.4635904561023741,-1.5280505004634661,0.46014618944835967
-2.994383558342588,0.38045576485935634,-2.4228331018892777,0.5014254329678182,-1.6953977102721358,0.4408246687600943
-2.9200279443620203,0.4054484369468947,-2.2903678778552674,0.41927230617414774,-1.632852605867992,0.3598836128568326
-2.9200279443620203,0.36293038259345045,-2.223234375511853,0.4148025810425806,-1.607247891900218,0.5097722122824446
-2.79128021044411,0.5125386588067835,-2.197286376641052,0.4320772771178296,-1.546433122256748,0.42169892887628574
-2.9677379253417833,0.3414411425351283,-2.2903678778552674,0.41720742077648537,-1.642434451834581,0.41989756237063613
-3.151381655742279,0.2700082292749539,-2.4676584925406813,0.3640864567031623,-1.756518004011915,0.3209114665938145
-3.038828518773989,0.3991142475106014,-2.395449516829614,0.41241536297182424,-1.7196284570397675,0.453351265072277
-3.1093491536764897,0.36505441527941285,-2.4043782825986613,0.45116776967328626,-1.7223838902526911,0.32064607302609155
