gamma_0,w_0,gamma_1,w_1,gamma_2,w_2
-3.038828518773989,0.3305863457834348,-2.321683203938726,0.3671782284274982,-1.6448536269514729,0.39810478296650326
-2.9807962577708214,0.4267199250561505,-2.298207184375311,0.4100844170513513,-1.5744865871379166,0.44597102755779056
-2.9200279443620203,0.3880106540961651,-2.3348740758765705,0.4023625844629802,-1.6004445443750994,0.4500249786137354
-3.034888032156279,0.4653184838521975,-2.3358319832387617,0.5074779151248435,-1.6894929592467136,0.47519225333074666
-3.0428167632431826,0.39346880817128305,-2.3079844749459575,0.41355151308168214,-1.6509440499876475,0.4410669387493666
-2.977483803090268,0.46999118780833693,-2.3282280026491473,0.4905957670100013,-1.6521695105991197,0.49750613869371313
-3.038828518773989,0.33654385086408867,-2.4228331018892777,0.40964728457291383,-1.6778570956574326,0.4285999706154573
-3.038828518773989,0.3760490196875873,-2.3396851998932906,0.37115709704074773,-1.6733927711463705,0.42987055218940223
-3.0013901338291515,0.3767454700473203,-2.369752422366986,0.42324514876991065,-1.7265417224986845,0.43423018276183095
-3.063519428891386,0.32149107362816826,-2.394346744435637,0.38653105180359226,-1.6577150234968434,0.4038982960160458
-3.019580518704865,0.43000903887085257,-2.3728799403068264,0.4083287195598804,-1.6509440499876475,0.4190071444873131
-3.05927281359597,0.36665688300163735,-2.4216552501469937,0.40424258226668247,-1.7134760270866574,0.44307469465064736
-2.9978684499103743,0.4055656966526008,-2.3339183061836266,0.44631390648255354,-1.6448536269514729,0.4403759867200568
-3.0678220201844395,0.4126700119445693,-2.38562773876526,0.4115539356708871,-1.6509440499876475,0.42388136577330027
-2.9709552871590303,0.41961555192694117,-2.3035129390729088,0.439728595462702,-1.652783172479143,0.4404567776438057
-3.004949439897651,0.460431848110532,-2.3484841787189454,0.4945001130050048,-1.643642836984767,0.4877521506896334
-2.9200279443620203,0.3998919767099874,-2.354452787340242,0.5572783804433503,-1.643038344515217,0.5217804665588973
-2.925638613141246,0.5439979617841685,-2.3207563047820883,0.537800689215248,-1.601573295349808,0.5245722539054479
-3.019580518704865,0.37683008366595705,-2.3564610986014998,0.45856598101882534,-1.7033638416727144,0.4795430852757568
-2.9228217776988075,0.41659340669286493,-2.3348740758765705,0.4454010369099176,-1.6442479306571718,0.4579503208764185
-2.994383558342588,0.43359994508871447,-2.3760308419612115,0.4235350309119182,-1.686237830907948,0.4045515370421596
-2.9200279443620203,0.39798570881380735,-2.3207563047820883,0.4054099708954777,-1.6147031272740917,0.45493699381750446
-3.1093491536764897,0.3386444491313617,-2.3965552100647964,0.38089505504697807,-1.6888405009799716,0.43807098397492883
-2.9742036996959538,0.34586889649420677,-2.331063719615921,0.39855149427316694,-1.6497210636833615,0.3986701802627429
-2.9978684499103743,0.33293836994570847,-2.302624135231964,0.39932976641134155,-1.641831157534001,0.39250197553496163
-3.050941522539344,0.3266392699957213,-2.3358319832387617,0.3767970920566607,-1.6849407678719148,0.38738221191275596
-2.964550993569748,0.3858716865543998,-2.3097860859972785,0.4485408581322237,-1.628707284212353,0.4604181772093086
-3.008547226714156,0.36681579341167975,-2.3494731492712106,0.4176162633099229,-1.6772172860956296,0.43743572258783603
-3.0233414397391476,0.370398209034161,-2.2938346203063302,0.3841420546467727,-1.6251762944500978,0.41642019523044854
-2.9430461174127407,0.40824515862316685,-2.3179875076197365,0.4691566906022976,-1.6181744845977877,0.4878707550744771
-3.0309941133896987,0.4316274997387755,-2.394346744435637,0.38318532650703935,-1.6442479306571718,0.40481119655993053
-2.9117805667111445,0.4927087770498485,-2.323543008573216,0.5258363960311534,-1.6583343471437897,0.49028036834050953
-2.8984601165495136,0.3556585739943514,-2.2684794522805993,0.4249098388710974,-1.5937144779287948,0.4530827982500018
-2.9228217776988075,0.45931658817132726,-2.27593333424735,0.492503362423107,-1.5903763409501648,0.5047826492615153
-3.063519428891386,0.32149107363120294,-2.350464423109078,0.3925399863696031,-1.6842932979553211,0.3871071925825491
-2.964550993569748,0.3475519169191476,-2.370792353473748,0.41798840843992463,-1.626939253770544,0.43950792680243767
-2.856659381909826,0.4244797171986556,-2.283515855137193,0.4503068488151872,-1.60953229135801,0.48389910768055966
-2.977483803090268,0.4023384779994748,-2.2929653484033974,0.4406615822252743,-1.6358308190650086,0.4269681146471894
-3.0468540024227346,0.40931227942392756,-2.3976638410137365,0.4465638877762931,-1.7449130810524893,0.4003387891707675
-2.9978684499103743,0.36268732226894423,-2.2990869921432555,0.402142425596373,-1.6251762944500974,0.4513761422362004
-2.9551668474978383,0.4392370492932729,-2.3061903241524457,0.3979117997889561,-1.5876080356617568,0.42538866407063425
-2.888162196227494,0.5954133557878323,-2.241402727604945,0.5830340103954672,-1.5865041124338541,0.5115528210712978
-3.034888032156279,0.2870615876403616,-2.332964663771099,0.38082298320459373,-1.6521695105991197,0.3864045140960481
-2.964550993569748,0.4263562226185877,-2.351458011964784,0.4244262085312598,-1.6817104534332863,0.45123982519238676
-2.9284788553206913,0.3881970506749427,-2.2539390914213655,0.42014710337892885,-1.5799208225758303,0.43878430956640113
-2.9582660301034873,0.4922637731707933,-2.304403566359463,0.514700787280837,-1.628117375132128,0.48055658492776115
-3.027145616981061,0.3363651485024989,-2.3367920387367493,0.431204317450324,-1.6921100111928289,0.4565356832405136
-2.9145077178535246,0.6676612853969963,-2.280973754126525,0.5908989802332294,-1.642434451834581,0.5148838611204799
-2.984141745330138,0.41046846962876216,-2.313411962618007,0.40024297299106487,-1.5976315527551663,0.4699920457250571
-2.964550993569748,0.4244152157854642,-2.341624910132738,0.4081583971396326,-1.6491104947076174,0.42164883725908525
-2.9551668474978383,0.4921664151669754,-2.314323202155569,0.47272607757175,-1.643642836984767,0.45339610522582324
-2.9677379253417833,0.40591693989210426,-2.3263478740408408,0.4851184331871942,-1.6577150234968434,0.42144140360997107
-2.984141745330138,0.4152017482766321,-2.3387186363996175,0.43209042857636415,-1.6683311879586582,0.45751291696887825
-3.0013901338291515,0.43168634100131387,-2.3739276238981604,0.4466426519742074,-1.6521695105991197,0.4826734385518934
-2.964550993569748,0.4234334702727044,-2.332013138327099,0.43864507057216584,-1.645459927291841,0.4427313385421915
-2.940082375124225,0.47395136643695995,-2.3564610986014998,0.4822344362849928,-1.6340421522742763,0.45005971910590337
-2.8984601165495136,0.4925868877479825,-2.3445510978723116,0.5346797051114777,-1.661440547368644,0.49496169087143344
-2.9742036996959538,0.463017258389593,-2.353452182117339,0.4488411460771997,-1.6947387039227042,0.44973681261872056
-2.977483803090268,0.3892557808289245,-2.3226121020539177,0.379424849664395,-1.5898217046845962,0.4280092489932717
-2.977483803090268,0.4359704958421741,-2.3377542529155857,0.43611856607487404,-1.640024850899671,0.48970723500529667
-3.050941522539344,0.35100485781722685,-2.378144623280705,0.37605788152119496,-1.6810664921169058,0.38055289312962426
-2.9490523284080012,0.3784415884176812,-2.300851965340215,0.4055940695895854,-1.6010086648860757,0.4477979803733794
-3.0233414397391476,0.29033577946742917,-2.401007531118953,0.369703987620599,-1.6772172860956296,0.3891101140449936
-2.909074901048066,0.45900890151348167,-2.295578382017143,0.40693059515829916,-1.58101328578512,0.4668292014104643
-3.004949439897651,0.4241876931850166,-2.4216552501469937,0.38210297796535153,-1.7073877808655047,0.4281867841653502
-3.081081769057392,0.41608132163842804,-2.4021280846614754,0.3990172698880228,-1.6980411262644237,0.4295416558342955
-2.9284788553206913,0.5589891465344883,-2.300851965340215,0.5435601986230271,-1.6370261774050148,0.5121397879519842
-2.984141745330138,0.3238325085105205,-2.3377542529155857,0.41385489303157535,-1.6340421522742758,0.4082720266066266
-3.104462640643709,0.4565802985835822,-2.3802690840391585,0.5339795784403778,-1.7087352578229016,0.4504454208881722
-2.934231233467232,0.45168125241684776,-2.302624135231964,0.4799457483798002,-1.6460668331076016,0.5115996131102613
-2.8856349124267573,0.47403991996335676,-2.3097860859972785,0.4796402213264216,-1.6152803361558106,0.5055819057633852
-2.9677379253417833,0.4602539546583568,-2.3484841787189454,0.4591841199273968,-1.6695925772881872,0.4862225015160612
-3.1403432269176275,0.270008779589846,-2.372879940306826,0.3733837579758584,-1.7053723595802672,0.357071853632102
-3.0013901338291515,0.4338898065060793,-2.319831395206162,0.4383880842724841,-1.643642836984767,0.4274270183894961
-3.034888032156279,0.4663166995059047,-2.3494731492712106,0.4613765882483177,-1.6564782802174165,0.45831145657151257
-2.984141745330138,0.3991204230588257,-2.341624910132738,0.4390386520738236,-1.6772172860956296,0.41268777419716735
-3.027145616981061,0.25947208111910824,-2.403251662556159,0.36048152880233547,-1.6881887608644732,0.40044572317281646
-3.0121843830337665,0.4567389595078981,-2.3802690840391585,0.4696090573889177,-1.7427631250641533,0.4756757292092642
-3.004949439897651,0.44616813348755346,-2.2792871734215745,0.49173172246012015,-1.6388236127743074,0.45754197273921676
-3.0309941133896987,0.4249882514625545,-2.3605064693765256,0.46889379519853724,-1.6947387039227042,0.4450772653285818
-2.9145077178535246,0.39113515985564,-2.2784463084870357,0.40092037753028265,-1.628707284212353,0.43677991454336074
-2.994383558342588,0.38045576485947363,-2.403251662556159,0.4262475501110407,-1.6275280320813557,0.43901436195803256
-2.9677379253417833,0.4572220743914233,-2.300851965340215,0.43493145045634357,-1.6714896568729594,0.42062845721856823
-3.0678220201844395,0.4051347115782383,-2.434800552640056,0.42850785037176436,-1.741334284011583,0.45678660711803987
-3.0121843830337665,0.5033652304520855,-2.382404342382312,0.5171231538345819,-1.6765781623774048,0.47637798107078366
-2.9709552871590303,0.31726321972885224,-2.3455309708066743,0.34751015273282454,-1.5909314668815038,0.3872211965851627
-2.9430461174127407,0.3854159746108264,-2.359491501981195,0.4071172547605783,-1.6364282059522712,0.4361687224713101
-2.9460359384310713,0.4036736662948332,-2.251561442169704,0.46240927781882263,-1.5942725637445236,0.4824792146176545
-2.9742036996959538,0.36528133552738806,-2.3226121020539177,0.3945372642274609,-1.6921100111928289,0.43256605285431177
-2.9978684499103743,0.4636933214910377,-2.3760308419612115,0.4288959947394576,-1.6791387792625543,0.44543871933379
-2.890708062945668,0.44481056824809595,-2.269301457043172,0.449697808123073,-1.6193359484207699,0.49462236738715504
-2.984141745330138,0.41976365585534575,-2.3207563047820883,0.4008054386424239,-1.6222492046541603,0.403737690723077
-2.984141745330138,0.3977941487458035,-2.3465131009943017,0.4202950373043451,-1.654627902351078,0.4339719547362244
-2.9228217776988075,0.4543717176952319,-2.286928445121298,0.45913165387543986,-1.637624734782635,0.4556390502854108
-2.9742036996959538,0.3930970711527143,-2.332964663771099,0.408316956262478,-1.6993672959502422,0.45416192573248665
-3.0233414397391476,0.3597713166445044,-2.3813353560506325,0.4408175351002661,-1.6695925772881872,0.4644283406151933
-3.0233414397391476,0.35753260414777854,-2.3282280026491473,0.413254837233994,-1.6987038376630372,0.42375119119264726
-2.888162196227494,0.40367925830407553,-2.2611495166320976,0.4349118642058621,-1.6078182054630357,0.4329440463571774
-3.0428167632431826,0.35405033321612966,-2.3445510978723116,0.46353439769568866,-1.6836465333545807,0.4536231297534567
-2.9117805667111445,0.37514693797504883,-2.2484109122759484,0.4822987399404681,-1.626939253770544,0.44193792834517726
-2.925638613141246,0.4719792428553729,-2.273434650942775,0.4436279714605715,-1.5887138970204755,0.4474934404036739
-2.9460359384310713,0.4858806359920443,-2.264392253462965,0.4810564034958578,-1.6292977606160322,0.45179255055714146
