gamma_0,w_0,gamma_1,w_1,gamma_2,w_2
-2.7617073069507776,0.48881574692609553,-2.232226451790637,0.4494616961359849,-1.5180571187364948,0.4713531139489267
-3.2905267314918945,0.27000356884756194,-2.726551316504396,0.5162228642312171,-1.8956979239918386,0.5477328162421414
-3.2272184259631564,0.26999475731644235,-2.669342091792527,0.11022498826213056,-1.7804643416920256,0.2454253582458339
-3.090232306167813,0.24199703447473359,-2.276769395604891,0.2155996235580525,-1.640024850899671,0.13010514961689792
-2.878161739095483,0.3712841639802181,-2.4892858647872385,0.39238950779863324,-1.706043396888962,0.4925796893333171
-3.3706171843236503,0.27000217058745707,-2.635554238190343,0.14061715825654506,-1.9599639845400545,0.16841829390464733
-2.858984164393865,0.2807895274954585,-2.3656181268642924,0.30326566094002777,-1.5848518438340828,0.3206842518913205
-3.2272184259631564,0.26999475731644235,-2.4892858647872385,0.3624164308683366,-1.6901461375274702,0.4276168976734241
-2.994383558342588,0.36683672375775606,-2.3189084659001673,0.3196386306969952,-1.5761119739866587,0.3418887476975812
-3.055080661867739,0.5075196707407507,-2.437236408210091,0.49129010223311104,-1.831674030400181,0.45705952387646165
-3.055080661867739,0.19167442873802362,-2.4181417132227403,0.2270492751113071,-1.5804668183993615,0.21327307433225764
-2.823516371236462,0.4241401534841305,-2.2086355582342136,0.5208339741726704,-1.5260396107882266,0.5988523375449902
-3.0233414397391476,0.4469727527982403,-2.399889984291418,0.34776609112264983,-1.5937144779287948,0.46892605686404837
-2.858984164393865,0.44209571187171026,-2.304403566359463,0.4257130087680024,-1.5674908641334395,0.552680022652307
-2.776190335372457,0.43689787860108303,-2.2701249980205227,0.4548209671715863,-1.546433122256748,0.4504598646920753
-2.994383558342588,0.22145397492818036,-2.2571292444862254,0.3232672238735827,-1.6304804205924204,0.320508149465526
-3.1746835274550755,0.26999282713843986,-2.4892858647872385,0.28214612622235535,-1.8054774570971484,0.30905612002476385
-2.9200279443620203,0.49393710371971966,-2.4181417132227403,0.49308121944923544,-1.7743819103449574,0.5373488212557722
-3.090232306167813,0.24199703447473359,-2.1494341600909292,0.3865764422351705,-1.4720773171593673,0.3718046903966018
-2.994383558342588,0.41421277462104994,-2.427578428974786,0.42564878172094156,-1.6595749061702603,0.5085591050545013
-2.9200279443620203,0.42241954925192793,-2.2383229891846317,0.37645174871388376,-1.5505898754088914,0.3624864689703028
