w_0,w_1,w_2,gamma_0,gamma_1,gamma_2
0.4220978949564767,0.3569242415416673,0.4153708873542083,-2.9710970363015736,-2.3929154653461766,-1.7214259013831232
0.5322110519277294,0.4070087879206946,0.4445587255762963,-2.935867073404722,-2.301242573935045,-1.6454038856989337
0.4326903890155689,0.4071748420577877,0.4914707521205027,-3.002372349886694,-2.3037795637477925,-1.6477120047827662
0.561815185895539,0.4241568145268905,0.3933234140404163,-3.004430500171994,-2.297774970314181,-1.625586662235714
0.6328809568086037,0.4806393242404629,0.4962950957883043,-2.808405433267691,-2.2706928668457955,-1.6065737852916275
0.3880290166906889,0.5139341207325518,0.5107006897041453,-2.9067445201282003,-2.1772975945784827,-1.5566668910832964
0.1418800074310429,0.3933243686887052,0.3868516993521647,-3.2263768323419004,-2.515524051304088,-1.7776435742238534
0.5547943896958529,0.3988829807658741,0.4619917071125197,-2.9749437421419453,-2.428588024065004,-1.706998811150399
0.4974062512638955,0.5076506852990161,0.4652393035559586,-2.9789042454234798,-2.338932275242651,-1.7089896894804564
0.3896419415906749,0.3801896221938983,0.4345008825827276,-3.0905712403190613,-2.4218073783953487,-1.7318494435600262
0.4515834588541986,0.4161621637188044,0.4871377008970852,-2.902066112497345,-2.3050506870583622,-1.5843882108146898
0.3834456131398213,0.3551599868470034,0.3590375899527277,-3.10045001535202,-2.417732146215113,-1.6874774195003162
0.4931758912782835,0.3256477354038744,0.3678040648338886,-3.0691966386176754,-2.505121092580965,-1.6665501978443036
0.4888148456879182,0.4345394511103315,0.3944351320596849,-2.921742575654934,-2.373825750987164,-1.7709330195789823
0.422959824360077,0.4269565104481291,0.4210185955738862,-3.07124147579256,-2.3235312531457537,-1.6957310523442022
0.4824638237796004,0.4289415666577068,0.4557504783261094,-2.886481129862367,-2.256627313441464,-1.570457015105911
0.6478471057038424,0.6054337004047866,0.6069174696370778,-2.6904262272384054,-2.069219774243308,-1.5172718497820117
0.5555083704995539,0.5228000599547628,0.4396004300496026,-2.8331993722402493,-2.2441462260324574,-1.5731028132671183
0.3715025943786868,0.4529192020239764,0.4342318535992669,-2.919800376756482,-2.394461414956801,-1.6880092530780586
0.2622349396120828,0.3981778425721101,0.3202954791537515,-3.0583787202850847,-2.473596864027622,-1.6973135281177862
0.5183134965784595,0.4905928203868716,0.4825543030852403,-2.839142923577121,-2.2915288146110595,-1.6207638539116704
0.3393249211736329,0.5204641547277408,0.4157195294549227,-3.09856137326641,-2.304191796231742,-1.734315339661501
0.6016135038000475,0.5789791423078693,0.503397540185045,-2.7247111033973885,-2.101056613101174,-1.4842997194159486
0.4297372648024853,0.4576725509600472,0.4013180847144482,-3.1390400602665776,-2.43828928733269,-1.8122073464282051
0.4634501075343171,0.5088453598907343,0.5636949010434618,-3.06170765485226,-2.3374634069597398,-1.7032042060507804
0.4821111994964731,0.4183185073665602,0.458517114712794,-3.1248420603149287,-2.517266890483352,-1.7590292338432518
0.4265754991908709,0.4279516683769732,0.4660823501933955,-3.091074660911326,-2.357451478809785,-1.6533793188136512
0.4262179863404998,0.4128859528175482,0.5267688400276014,-3.0088715773750545,-2.368639907717378,-1.642737699512409
0.4185708513505569,0.5033208557548898,0.465181537976134,-3.093769526010665,-2.265086420844896,-1.671651990988029
0.3262624642384885,0.379304188311436,0.4532753803685578,-3.2447043926464065,-2.3781318090853665,-1.7513680789733523
0.4120485638144365,0.3487791128724193,0.4630475684996453,-3.0832054868349696,-2.423844302240002,-1.6641936024559083
0.4279588626727836,0.4643218413371001,0.4596038052653853,-3.005119231620935,-2.293980795648377,-1.6257604140329738
0.3662208135743816,0.5004665058084939,0.4539895236591336,-2.9908734484783728,-2.298849874746069,-1.6755358949161676
0.3998406939447005,0.3709993664191609,0.4609126168372616,-3.044963608593537,-2.320955467093488,-1.668308631713851
0.2035251630682954,0.3535894984909505,0.286721866659031,-3.2565628303859344,-2.4638440747179247,-1.7033303254287215
0.4345670201085912,0.398341992031993,0.4259028524947839,-2.938550299285401,-2.2769562888028587,-1.53656764608988
0.5355407733814919,0.5517564488269645,0.5602087837319207,-2.881400288779504,-2.321405333915127,-1.7705772914894684
0.4809997066396112,0.3306209739017773,0.3687045064871991,-3.0447374599431067,-2.411461165185841,-1.6925087809550532
0.3534291409687895,0.3798583176023366,0.4382807929334869,-2.8259317039876715,-2.286845044665969,-1.6157767845449484
0.4039957083322031,0.4341624918269541,0.4355991842347238,-2.9529493301059757,-2.2997636186420904,-1.7012132842877288
0.4007324547968215,0.3418273046187665,0.4058289803413164,-3.1741524196327875,-2.38452552546726,-1.67231752704256
0.4732868070456483,0.4774142292920756,0.4662991328769626,-2.9255382459214823,-2.2518063252730824,-1.5763036183414678
0.4508566831775421,0.4072233079513203,0.3989524272485665,-3.058798122362751,-2.32187738966417,-1.6630898983786953
0.3985472402779461,0.3094476824507837,0.2756968504968198,-3.159903209882988,-2.427247783647577,-1.6546034512656504
0.5177299481558102,0.5032406250507753,0.4461063267530832,-2.965590659916385,-2.359878008062669,-1.665946135281066
0.5006172344285094,0.5136744959086639,0.5378863426602473,-2.965454493478365,-2.25908426945364,-1.586959202976882
0.4245687875603779,0.4126376866180371,0.4651924419956825,-2.8930614001936545,-2.2481039609217675,-1.549896946467758
0.538479167577833,0.4361787402040696,0.4507403534650072,-3.080012416260767,-2.4035796537392984,-1.7172986467435711
0.4383224586193534,0.4501060035866809,0.3515766718911345,-2.994143153078064,-2.364330646858867,-1.7035127232328229
0.3865673089436779,0.4445451556341761,0.447026129107638,-3.050172539560782,-2.374889428859853,-1.7375554472746753
0.6321075677485416,0.5209160952678688,0.4858132612646416,-2.864921018454704,-2.303121091550686,-1.518044548387064
0.4985442594023404,0.491501894531524,0.5093881968894238,-2.824816911970675,-2.1748058339639336,-1.5205798404574382
0.4823014247133073,0.5064498860481436,0.4368801456732205,-2.9695605932857854,-2.3207706323007717,-1.6577560948445829
0.5325801495353362,0.5515923636538766,0.5359958303896218,-2.9075287078410983,-2.13094045794536,-1.52018188723737
0.3134763700422832,0.4320285103718508,0.281757288436787,-3.030393109038748,-2.401772429415172,-1.6996762888430152
0.5402340229526538,0.4243679669067106,0.4872192560100656,-2.9337306351700363,-2.4196266616565865,-1.605533123260359
0.5952680578327073,0.5336764016360966,0.4371771737021492,-2.8094917822570658,-2.169769157608735,-1.58528403630075
0.3410931528374099,0.4329338999750834,0.3856636701412955,-3.0313674244248543,-2.3701303226988086,-1.782981468594783
0.3722401703076012,0.49898581963348,0.5298369845168978,-3.034074380352613,-2.2585786267276435,-1.6218338186052053
0.3318453462540743,0.4235547766588779,0.4296810372329322,-3.0227060939165376,-2.4626819061949825,-1.7375099011750992
0.3144729178152797,0.3352127537036133,0.3267019231075577,-3.124029681972049,-2.319304298359666,-1.5837133002596016
0.504141224076431,0.4751576795215201,0.4666537325841718,-2.914241565261385,-2.2836927249418046,-1.6229666573248234
