,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
102,144,936,5573,120000,120000,120000,-2.9055164636848407,-2.342036810954089,-1.6657597763824854,0.3965673048085466
103,188,1242,6606,120000,120000,120000,-2.847027776144793,-2.2891047028115272,-1.6508395228437345,0.4569423216123418
104,235,1317,6648,120000,120000,120000,-2.759997752603076,-2.2648927303157342,-1.6290379435841411,0.4726997411707347
105,150,1029,5923,120000,120000,120000,-2.8574593723014283,-2.2815452158011302,-1.6218504184881068,0.4351095154903316
106,283,1501,6918,120000,120000,120000,-2.882866924857458,-2.333095433598169,-1.706429810630922,0.3407696775132594
107,208,1137,6299,120000,120000,120000,-2.834113187497525,-2.337761974257455,-1.6680370749198534,0.4443995257327727
108,174,1210,6782,120000,120000,120000,-2.8865318876840744,-2.2834863592212904,-1.6190972388917402,0.4549933371576389
109,411,1957,8123,120000,120000,120000,-2.7972624083709263,-2.2870778093335904,-1.7160141522669088,0.4588886842248963
110,198,1317,6807,120000,120000,120000,-2.876670362587836,-2.267130585284325,-1.6335352389948978,0.452400213101702
111,128,826,5054,120000,120000,120000,-2.865969376454601,-2.2731149927864025,-1.630363790157687,0.4625966119775999
112,199,1228,6587,120000,120000,120000,-2.8430804454805583,-2.284613487129856,-1.6302494817699087,0.4624364789012204
113,273,1572,7986,120000,120000,120000,-2.841560473495254,-2.2640016851877283,-1.6307386607782657,0.458927833389832
114,156,867,4950,120000,120000,120000,-2.8487152914156626,-2.342895384439067,-1.7071662764907622,0.4442059707792317
115,246,1431,7579,120000,120000,120000,-2.885213061655284,-2.3048996006779348,-1.667137250225649,0.4471740288589262
116,196,1283,7117,120000,120000,120000,-2.8843716638591674,-2.277780881164384,-1.607813678692942,0.4501618320685744
117,105,749,4793,120000,120000,120000,-2.882264304171769,-2.291352044333258,-1.653214254569833,0.4528322171516405
118,192,1098,5830,120000,120000,120000,-2.876562542906348,-2.308606478258522,-1.6957618781222914,0.444559811644149
119,324,1859,8233,120000,120000,120000,-2.873231803639701,-2.300568198882975,-1.701359963881399,0.4357885577033125
120,106,806,4941,120000,120000,120000,-3.0697695868025794,-2.441385049111638,-1.7361166507990795,0.2838453379660492
121,207,1094,5306,120000,120000,120000,-2.764170743973564,-2.258437480456005,-1.6664474607907906,0.4396546330565287
122,176,1112,6052,120000,120000,120000,-2.8667040031718605,-2.3009714733818045,-1.6831293534729634,0.4447068068379636
123,145,978,5489,120000,120000,120000,-2.997387790810658,-2.396981128368981,-1.7168581897534074,0.310592115687424
124,98,706,4198,120000,120000,120000,-3.149895290903024,-2.5190805770145435,-1.8121173659791503,8.621068363720329e-06
125,224,1370,6855,120000,120000,120000,-2.840007989412243,-2.244138363193582,-1.6211049352795557,0.452713432043479
126,151,1084,6167,120000,120000,120000,-2.916632777921973,-2.2802201481818685,-1.609233926835115,0.4239089299797524
127,189,1221,6779,120000,120000,120000,-2.865820198303716,-2.2951875713789205,-1.638415007612127,0.4561407301407335
128,406,1866,8818,120000,120000,120000,-2.804136781910401,-2.3218747325412328,-1.675648956436857,0.4385481167418501
129,177,1066,6097,120000,120000,120000,-2.9098107389914776,-2.3292478497287634,-1.6835006673336712,0.4235507060032927
130,199,1230,6378,120000,120000,120000,-2.8558170633253037,-2.2834119069198096,-1.6712599241307335,0.4456822574070939
131,97,632,4244,120000,120000,120000,-3.152834064231982,-2.5578568210726527,-1.8071843140361148,5.417903242124899e-06
132,377,1608,7389,120000,120000,120000,-2.744256739390595,-2.2573841698154737,-1.6665634657930772,0.458234897122469
133,234,1401,7240,120000,120000,120000,-2.924235207196178,-2.3487643613975107,-1.686798600648047,0.3767270951823631
134,138,938,5499,120000,120000,120000,-2.8690307365638774,-2.303461694311074,-1.6491277101070765,0.4446126696426103
135,489,2260,9102,120000,120000,120000,-2.7627813873891007,-2.234155411401991,-1.6602213685190033,0.4577579315091358
136,467,2110,8795,120000,120000,120000,-2.7470438711260714,-2.2636396560024106,-1.6841121149367764,0.4502553986870897
137,291,1532,7592,120000,120000,120000,-2.8005051625505324,-2.2790380444900302,-1.650944317437079,0.4549011042493726
138,200,1242,6626,120000,120000,120000,-2.831788495757766,-2.2852642763988005,-1.628192575974095,0.4618065684254838
139,255,1555,7732,120000,120000,120000,-2.866845664699349,-2.2769019694442205,-1.6429018978601977,0.4541011476175138
140,266,1532,7768,120000,120000,120000,-2.8523911568349885,-2.286077545903491,-1.6441765901914187,0.4537163441305495
