w_0,w_1,w_2,gamma_0,gamma_1,gamma_2
0.5169242630955395,0.5795749020093545,0.5096312936950577,-2.770637055236168,-2.212476393858539,-1.6104794840773253
0.5077056589989605,0.47283755764626767,0.44388854065308564,-2.898865797626176,-2.293325550742235,-1.641099446386013
0.4723491801932141,0.4712724356995816,0.474868207738686,-2.8320994319624506,-2.2066879574191938,-1.545881111535849
0.4964461050263449,0.40116590235816824,0.38360415625084826,-3.118992659570699,-2.387349016170588,-1.68028864724755
0.4885642662747652,0.4172782988502328,0.43173866279795786,-2.9283901542272264,-2.2671337873662716,-1.57079155452053
0.3857547377490546,0.3843932574066976,0.35276097968684095,-3.0725220747777504,-2.3964279376312403,-1.7043391245264106
0.47222058367945463,0.46722747259697806,0.46368234599807334,-2.9658965895205847,-2.3436047313199317,-1.6689108268120705
0.5219792013607686,0.3940819782986713,0.4576130143220385,-3.0253111578509184,-2.4232475726584335,-1.72529649934457
0.3788895261718847,0.44046069194660353,0.44040925975184936,-3.033089321304915,-2.3395298002459284,-1.6128422260499973
0.489726586514518,0.40513908216548206,0.45851194098412296,-3.0660862069463097,-2.447625909304009,-1.758054228293246
0.4554225315971087,0.5091105211797856,0.4710833717136427,-2.8477661568970527,-2.2125829961474515,-1.5680577350256109
0.42783483055150606,0.4554931760173669,0.44587467117577023,-2.9963915057866504,-2.3482481221824343,-1.6854066768734703
0.43615535929804883,0.42662565049873624,0.4623054967028191,-2.8649400272776897,-2.276765618565511,-1.592186197779031
0.46557048809176105,0.4724566535866575,0.39154190768384,-2.979440182051186,-2.337472524423951,-1.65664376769355
0.4820289243243366,0.467724021492079,0.4282217869955471,-2.981103762632649,-2.25197180972841,-1.5785285577875552
0.459340801197581,0.4779710575992728,0.478813667712902,-2.923915921270772,-2.3583105036823064,-1.668344772297254
0.3948383644367197,0.46628590348314725,0.43159202014567677,-3.015226610662017,-2.4008111905690455,-1.702439689359841
0.3676270622861014,0.39253061460780203,0.3818781982736805,-2.9971693231443552,-2.3953241470590574,-1.697440092464608
0.35635344233030064,0.419736603426944,0.3694590520315662,-3.019580130603853,-2.361454136703602,-1.6479303325062957
0.5101886949860761,0.5065992980472388,0.4743836821344212,-2.9178401405929995,-2.292035421928202,-1.6457105579546152
0.516443699586599,0.43698543920300414,0.42578500194177327,-2.8723517374831276,-2.3052396538432056,-1.6214562330576083
0.41083794703275933,0.3894508782169413,0.4014102222992139,-2.9140685959756025,-2.3366225620353367,-1.627962533583309
0.43499792657813147,0.49230658089364127,0.49773134281621684,-2.9934342178100257,-2.3234469270085847,-1.6432603799089602
0.446136682086493,0.44779767355849476,0.4550797523730064,-2.946757352724033,-2.3275466412998917,-1.6416079583116727
0.379001267975592,0.4091664930180514,0.391977374647022,-3.0630313568251006,-2.3948380369975135,-1.6807821678971504
0.44974127084443255,0.4658009627961386,0.5004492935029576,-2.8711804083436574,-2.2126032611895528,-1.5557131264778685
0.36364926980259826,0.479974657822734,0.42900421056466964,-3.0729879549262007,-2.3921444066251927,-1.7245598257782817
0.44199340280204685,0.38935254157234445,0.39737674148207985,-2.992185628022095,-2.368484181116599,-1.6732294033597188
0.37110579668190424,0.41916577862676635,0.4343430851010523,-3.0680619013778814,-2.4174453066755857,-1.6990342682043522
0.45269528596883063,0.46158966689774733,0.4232853334983934,-3.0607236627767866,-2.313734682621835,-1.6426535882114062
0.4028759316384555,0.43797046739891077,0.3833343252870974,-3.1216164659078003,-2.410784969597369,-1.7125758630875458
0.45784814884962277,0.3958498317556637,0.4526635385428126,-2.9629352127506476,-2.2995931106025225,-1.6462456148652278
0.41711658699331233,0.42262837369930334,0.3855716125870939,-3.14241792726967,-2.448450582226142,-1.7508398776339598
0.43680301926201925,0.44302892632136404,0.3837030378789617,-2.971284351398358,-2.369748715589552,-1.6456451229969349
0.3849770373510752,0.4223156141803017,0.5239126663618396,-2.8331740920883077,-2.287814500250635,-1.551663925366334
0.4168836589447273,0.37136364405406885,0.46745169414546656,-3.089994491497348,-2.418067573333584,-1.7313466178348522
0.45270910483213955,0.46238227558841455,0.45679372695126635,-2.7837142783611086,-2.1971036723280193,-1.4959894807647842
0.4851559245484952,0.414755352017012,0.42976833422101535,-2.988141846306071,-2.4155095816688754,-1.6917163504979802
0.36425554191220044,0.4282293250328629,0.3895747001375695,-3.0843951879831026,-2.3855584203594726,-1.6919092934871658
0.4987949253460607,0.45305122754515476,0.4422619681649118,-3.0934118218427846,-2.4309821961929816,-1.7318989166101453
0.5015852184573789,0.5454555384007699,0.4730753744341836,-2.888737434425313,-2.3260171705117343,-1.6166298470665101
0.5020874941266187,0.45749076153292634,0.5005904224451213,-2.8914040652350352,-2.251179884383115,-1.5842467414415957
0.38798942175067935,0.3857129924518174,0.44748617886017855,-3.090559892990099,-2.452419926887958,-1.724893112210238
0.4494229135472327,0.4450573662326495,0.46060604818267104,-2.911531319203233,-2.2642019137647806,-1.6026143110689823
0.4269685628671201,0.3974664559951488,0.45202945826795077,-2.98956651451218,-2.4016964521780837,-1.6598366265485185
0.38927692756585924,0.45916409978807804,0.4478333959905474,-3.0703189566922355,-2.4091351921847965,-1.7025942219047414
0.3085329542276806,0.41688793352630255,0.4092268463563156,-3.0440780153760625,-2.324656602068701,-1.6860210507191717
0.42918409107240046,0.38920509884647225,0.36177991034556406,-3.0371102098034566,-2.434999156629963,-1.7069002941131755
