w_0,gamma_0,gamma_1,gamma_2
0.4733232771038042,-3.111121295122364,-2.4216941471896662,-1.7748009651477694
0.46773911657486955,-2.9315350852515474,-2.3743966037496116,-1.6421588839247279
0.481283037366626,-2.8607980848586116,-2.2464793469271664,-1.6178758689970043
0.4104262117766122,-2.8526705790307445,-2.2974929812854485,-1.5515071033513244
0.5505476088029031,-2.780530380669361,-2.158386744970064,-1.523562521381778
0.3649131656841074,-2.8753664534583514,-2.2696101752578315,-1.5094912636993254
0.47397276901670654,-2.8301739574587095,-2.2223922166355763,-1.523070110479205
0.4541569410311975,-2.788583313121949,-2.089394882530059,-1.508740501388746
0.5600770309369973,-2.9683683732789965,-2.179491951305142,-1.5824139266439885
0.4333333719506926,-3.037132532647533,-2.338866952190893,-1.723566550095137
0.4026477172994794,-3.0178131539287634,-2.4056620371841544,-1.7668106758952677
0.3252327704614199,-3.344018857680551,-2.4339186480608155,-1.6499543288164165
0.47504905359385136,-2.945656639585652,-2.305942803851754,-1.5604646903334336
0.5106887096454278,-2.8364483804436667,-2.230030082157192,-1.5950591099735119
0.41870497767865517,-3.1591090987569523,-2.545158565799496,-1.8556580676733274
0.3938005865013475,-3.161241268958403,-2.2600296098535644,-1.6289182833099083
0.5907235233524013,-2.796746259136043,-2.1740123551311465,-1.5398840739254995
0.44078341378517877,-2.8836909423056007,-2.1731220485912317,-1.4951884014447243
0.4792881272593535,-2.9540148450981096,-2.32369460586697,-1.5637005065230376
0.4914961624125482,-2.766086849311829,-2.2113880684385494,-1.5486315484094522
0.3898228118587368,-2.9136399829118322,-2.2955163645467342,-1.5735240438856326
0.4530126669590025,-2.825455198645905,-2.205958784325998,-1.5614777730657565
0.45033645040811493,-2.98506225730748,-2.3084614222387314,-1.6815699933218695
0.5160734581326306,-2.9696001224909665,-2.308843597447024,-1.6939154309639763
0.46464754409481257,-2.9771989798993554,-2.3058530730751974,-1.7799143203872947
0.5178185150833555,-2.7188960226788197,-2.192102689728783,-1.5256150717514487
0.5035749357639766,-3.001347247544201,-2.443691435391472,-1.6610317411441984
0.436562274118284,-2.83683638893705,-2.3053491088587537,-1.55303802522037
0.4173988157918591,-2.984691746015086,-2.3540335137782615,-1.6563112395292692
0.4615193110133979,-3.0597512846446966,-2.4068716016784313,-1.7404236484846882
0.4137922708616737,-3.2002841649432288,-2.410291207931749,-1.7003761497064032
0.4447334917443592,-2.8461848507165657,-2.2665437201505774,-1.539875702973283
0.45418403337520546,-2.916039519885193,-2.219104967645542,-1.6453858225104108
0.38415512185716,-2.846260721133675,-2.399529438085921,-1.7177635858317233
0.3901944126441866,-3.2145560611296915,-2.357382818781564,-1.612327428404581
0.3938597391426219,-3.1108945452452783,-2.399564780320448,-1.746216098722164
0.4022904832539271,-3.190432406077657,-2.475183876547842,-1.7393259315925265
0.42249114952838623,-3.1721763112408934,-2.524126143823691,-1.7685375639835184
0.40658669260366015,-3.0771982117038865,-2.4106857490696334,-1.624948535430142
0.3828743346386892,-3.166195944035875,-2.481431625916445,-1.7875012066832001
0.3943471819015285,-3.0937013652197343,-2.3978417442457967,-1.6726697442062857
0.5226500761775076,-2.912717399642086,-2.212261940674333,-1.5674033635093345
0.4928284123420078,-2.838910080388668,-2.281100448792571,-1.593905350506265
0.3850838549275566,-3.131307724109156,-2.4870283256857615,-1.8063108510719679
