,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
0,257,1350,7005,120000,120000,120000,-2.9234182811175504,-2.3774260076200107,-1.696821616271045,0.3011759907334044
1,248,1359,7066,120000,120000,120000,-2.8228231145021256,-2.296848107927022,-1.6929028437632652,0.4840256880760623
2,148,1102,5989,120000,120000,120000,-2.899024291147104,-2.3051215828858647,-1.689688705292674,0.4461708200407197
3,331,1776,7976,120000,120000,120000,-2.755831202416494,-2.2119275113273185,-1.6308434423482892,0.472404513193663
4,148,953,5275,120000,120000,120000,-2.8729037869808947,-2.3143352466766016,-1.676438572210944,0.4254802803859876
5,200,1098,6018,120000,120000,120000,-2.8343729876573613,-2.33163197951082,-1.676018292975427,0.438653808147332
6,230,1316,6965,120000,120000,120000,-2.895015586584893,-2.3284238873153704,-1.6973257177203016,0.4489111447672342
7,137,868,5374,120000,120000,120000,-2.947118689173496,-2.3892112785795376,-1.7012015713925002,0.3924846665521667
8,171,1147,5924,120000,120000,120000,-2.892832212606672,-2.2904685887351937,-1.689191870527757,0.4457450646228839
9,142,996,5603,120000,120000,120000,-2.9927477840460983,-2.384300720033413,-1.7049834459876207,0.3224338694474435
10,279,1637,8316,120000,120000,120000,-2.8157698800498494,-2.274557297857668,-1.6229774789121876,0.4611751575651523
11,261,1410,7005,120000,120000,120000,-2.904431677522534,-2.3547095921750323,-1.7010784277177808,0.3486524923644208
12,164,1061,6000,120000,120000,120000,-2.9039268360359536,-2.3105033989775325,-1.6828893810197787,0.4531907534344422
13,222,1470,7449,120000,120000,120000,-2.876858296238675,-2.293691278306218,-1.6587330201405637,0.4519909308742771
14,272,1491,6959,120000,120000,120000,-2.9065827442761547,-2.3410321542048864,-1.6997040179522025,0.3026198341909617
15,236,1328,6638,120000,120000,120000,-2.820157511299408,-2.24621407351598,-1.6390083661071992,0.449738185266782
16,194,1186,6362,120000,120000,120000,-2.807212755892745,-2.292884416923621,-1.665184562734165,0.4512641680516945
17,199,1168,6435,120000,120000,120000,-2.840341669777064,-2.279204369541822,-1.6441612627317372,0.4603179065011967
18,219,1402,7022,120000,120000,120000,-2.980360948832021,-2.365089505157568,-1.690451625239186,0.2701253455703459
19,169,1019,5751,120000,120000,120000,-2.791418451803459,-2.259433718984889,-1.619148364764606,0.461066950589455
20,406,1758,7365,120000,120000,120000,-2.692385477201909,-2.2468534633030126,-1.6781743277472,0.4603002615829135
21,181,1195,6293,120000,120000,120000,-2.855452402179681,-2.289318376843888,-1.6528490496805133,0.4506123817546454
22,261,1550,7060,120000,120000,120000,-2.8390478573891587,-2.280156164506844,-1.684391328884038,0.441351786296262
23,241,1273,6325,120000,120000,120000,-2.8103547055372164,-2.2634910336292515,-1.6550188682867977,0.4509801950597294
24,263,1411,7274,120000,120000,120000,-2.836811655526584,-2.312353185623482,-1.6707257040290149,0.4419822355172321
25,271,1543,7329,120000,120000,120000,-2.8459597224746216,-2.281962594182062,-1.6755971519242905,0.4461033800707601
26,258,1430,6925,120000,120000,120000,-2.843047565710444,-2.3095582086362936,-1.695755416470598,0.4446943908112868
27,237,1253,6521,120000,120000,120000,-2.7504609146351955,-2.260273522830332,-1.648604907263738,0.4599020955089713
28,197,1084,5990,120000,120000,120000,-2.896488607692253,-2.3464261764122107,-1.701783614697114,0.4275828167973255
29,159,1123,5977,120000,120000,120000,-2.889747676948608,-2.301564143455649,-1.6963725255187754,0.4498372200152244
30,335,1725,8318,120000,120000,120000,-2.8836087242758968,-2.3358845993466635,-1.7009909587502583,0.4174977135127017
