w_0,gamma_0,gamma_1,gamma_2
0.4765795214656345,-2.852442063747442,-2.267559857534308,-1.5830126743062511
0.4224457038587403,-2.9071356377115762,-2.3064247024452786,-1.623007875060173
0.49628112623115683,-2.9287025655520464,-2.2534047692989607,-1.5908158838827056
0.47610716475564163,-2.959398065091781,-2.4295918082941794,-1.6904895031850353
0.4222270199245713,-3.0018754551985545,-2.3810826268368577,-1.692070660846371
0.513526041143071,-2.9303105256893422,-2.211532312622769,-1.572400735314775
0.45534319487172653,-3.1154397396163045,-2.4491413012162044,-1.7450898784713302
0.4879540681043188,-2.9119367347573215,-2.2337608708698196,-1.577183614632137
0.4665853739112742,-2.883856116237959,-2.3200595951607754,-1.6101365354168906
0.5290027979946169,-2.8280362075272776,-2.300405662975559,-1.6029167386203134
0.4501346528705904,-3.05388487097551,-2.3429784726454685,-1.6874727963299934
0.4927328343140854,-2.85916953248443,-2.2593535547253976,-1.6254244919643586
0.43786673676900145,-2.9393059446352603,-2.354266393345556,-1.6802003441852158
0.43225920262996165,-3.113236340377672,-2.449419937137404,-1.7433861168248719
0.46252373570853184,-3.0169601688693186,-2.2747830272260186,-1.5773134107021607
0.4724403358781638,-2.891389952742879,-2.2147497894338457,-1.5542122562967169
0.4720771082245979,-2.821350923958866,-2.150071922997543,-1.5166159680392222
0.5145379670151224,-2.87312994463729,-2.2289909168889714,-1.5682209501059956
0.44366331906852996,-2.9237632749432745,-2.387555735810137,-1.7122771750341652
0.44673523116600067,-2.9207093079715283,-2.352960325354691,-1.6051027746561302
0.3830214006426831,-3.0053414559684812,-2.39033470656183,-1.626004360380938
0.4836448306363361,-2.9736027040839508,-2.249321577258138,-1.5844205084214875
0.42558581598304795,-3.0985312424608895,-2.498541804356719,-1.7737265437378502
0.4356813205264434,-3.0317347939667565,-2.4464310727867744,-1.7510569947665169
0.42964246725407046,-2.9509010141673953,-2.3076960083089495,-1.665967999929077
0.42042231279413633,-2.9747184456435862,-2.336969578493354,-1.6346748906027175
0.4167667693804567,-2.9383617959714727,-2.303565291601459,-1.6232756369135213
0.46384403754957276,-2.850547329942998,-2.2288265428518588,-1.563099895673764
0.4755793507528851,-2.870400032825742,-2.3526596271693228,-1.6507466461509581
0.4011874102636944,-3.0496083723647502,-2.377628876866246,-1.6523024162043216
0.3563306437306471,-3.137269017571199,-2.3680755480574467,-1.6866315128702014
0.3766079050100404,-3.1258855860571297,-2.502387594350341,-1.7390237810595022
0.505047042824567,-2.7960832844921826,-2.2177735125161675,-1.5599046388706994
0.41471287301627263,-2.9823444754629405,-2.352459761897663,-1.6251292449258328
0.44637537991130743,-2.994446905000674,-2.3747470127858503,-1.6607013450252563
0.450277797640288,-3.020308187766289,-2.2991771909256213,-1.573373951008706
0.5133524410386477,-2.92954644482312,-2.268542837183618,-1.6107370038307514
0.4421882669361959,-3.139261584727227,-2.4533669062293337,-1.7280875123697006
0.43598509575472794,-3.0123835008294364,-2.3611346324594393,-1.6221987241459934
0.43444419716381527,-3.031327516818428,-2.324749520027741,-1.7209972375020082
0.47317381173300854,-2.925721027135466,-2.2494381641640784,-1.5861247029369285
0.41416525899157325,-2.93031443096458,-2.2965892883294976,-1.5984440454183566
0.4793560124119227,-2.9799850207490555,-2.3715954684702094,-1.730701400229865
0.46958613826220136,-2.9339883413488517,-2.2681467200630596,-1.6012712826317894
0.41490723627015597,-3.006793389196285,-2.3360965512360155,-1.6734590622542895
0.43437052447915203,-2.99782892293097,-2.3814272159571432,-1.6677222047908433
0.4329262925255076,-2.887576364170132,-2.298798274153635,-1.5810669158661996
0.41696003970835815,-3.042598304787437,-2.4290748588279634,-1.7597237974611295
0.46742148955091156,-2.9184791880600445,-2.3587156551962654,-1.6994521196989036
0.4018301800892594,-3.1485604962140186,-2.5051379418867636,-1.7605966092736092
0.475130901427857,-2.9044542734711016,-2.2614064488556727,-1.6485280067189672
0.41652532844666296,-3.1684815769417254,-2.362789271236662,-1.7009427041333645
0.4254530579999049,-2.8761141474243135,-2.197027906834594,-1.4760301654724564
0.41686543218381433,-3.0632141682350444,-2.3252585270489172,-1.703448128001622
0.40445878742322466,-3.1123697122308127,-2.3624135386102356,-1.7106879042830165
0.4551604810605529,-2.844224387628739,-2.3202206788447435,-1.6474188558046898
0.4656283432609655,-2.9645665447926044,-2.354819841688827,-1.6634873180964025
