w_0,gamma_0,w_1,gamma_1,w_2,gamma_2
0.49045169833899105,-2.9188950385465207,0.4319163605080836,-2.2053482570339558,0.4402545295834528,-1.537504387289893
0.4896921166142296,-2.9488763878494217,0.5115204578327162,-2.362395053480803,0.42340734065939867,-1.589353528082533
0.366510404728619,-3.0075503017250687,0.4416109573595428,-2.412101396436253,0.4241651621907635,-1.745262502164958
0.5900049987386404,-2.9941449948609318,0.5211221932481329,-2.442253189095883,0.46142183027599315,-1.8192068411312434
0.2442303554428859,-2.867031910813892,0.32721496938663513,-2.26114318282794,0.3990934897373955,-1.5781076160392316
0.4347386801859894,-2.846797640543321,0.4580277294575982,-2.3140362518876216,0.49415123910565434,-1.577260337494578
0.4969993406062362,-3.06309904054767,0.3635992752594425,-2.4162855706534057,0.3657155681119118,-1.7145044301387014
0.40622138449119743,-2.9238041176523364,0.48249600273521703,-2.275221231413501,0.4931040385425205,-1.6778324372230937
0.512029110685891,-3.007247984009749,0.43759897277331966,-2.563521786862322,0.3818649783774001,-1.7861490648233505
0.4850391811306144,-2.854164728796862,0.44952987844876846,-2.2745615364879184,0.48470758553515775,-1.6426656038478715
0.3921415860353593,-3.040259166187392,0.4325624129831091,-2.271834411383024,0.3918952565830077,-1.6493534213252994
0.4630784185121512,-3.0089909370214474,0.4132378561985189,-2.3518448164012264,0.5082132434590646,-1.6926461387166754
0.4166457694130137,-2.8762257923403256,0.4210318954356433,-2.2195068158595324,0.4240457162099019,-1.5505855631192342
0.5446744484612904,-2.940496728687332,0.43270781661572016,-2.2903749708807304,0.4965208789258549,-1.7165650707152997
0.3265470296481762,-2.8947465411497766,0.3235222451754724,-2.3253361064466938,0.34923300752429787,-1.6468808859231545
0.3848011336081736,-3.141649578697649,0.3075221331985332,-2.4268876861967943,0.4028592913358351,-1.7338841334388593
0.5716248538898704,-2.9720055509979653,0.5339119802706385,-2.271983852985145,0.5300491104785651,-1.6983430957658145
0.32762265895514403,-3.0184014909929897,0.3917916598184455,-2.28797377841908,0.36026989953858984,-1.6119091895881412
