w_0,gamma_0,gamma_1,gamma_2
0.3830175543848459,-3.1889684882318567,-2.3196349153513998,-1.7347262021410714
0.5514326151061423,-2.68057859423481,-2.1086478383578813,-1.308025457579625
0.4315802294319091,-3.448467873890513,-2.599764323137324,-2.0128406924183104
0.4224393812570828,-3.020441115264713,-2.6876156470932187,-1.739266928734265
0.6307518783248665,-2.8501508082512896,-2.254929571425536,-1.587302722790258
0.5295485336706733,-2.751201898140541,-2.1310104580000857,-1.5159357665331332
0.4733565014450576,-2.75003090512105,-2.215748164491681,-1.5569883830565772
0.4626637666796774,-3.1606062495298817,-2.485682766594989,-1.818479779702808
0.580159469644518,-2.862461545055815,-2.171373956951208,-1.5033506400120311
0.3135278846901214,-3.153756869148238,-2.4828877455891285,-1.842793819924822
0.3331082916085348,-3.0731752997242405,-2.4856371702977555,-1.6492404140576808
0.525455548980331,-2.6424684646866603,-2.1722123886706046,-1.4408762728153988
0.4182496101312067,-3.036408551769552,-2.283317582105778,-1.8113137208859915
0.5357512805704164,-3.119444840461424,-2.569038383936991,-1.807189881074049
0.3612482054780241,-2.8787240091080384,-2.296503923005073,-1.4935674549539193
0.3925619101788201,-2.8185096797220277,-2.2607411405567754,-1.5243878734163208
0.4403278262295642,-3.0617332155433985,-2.2877547263692195,-1.7111921159106362
0.4237034982031264,-2.959229322605979,-2.3335556736480183,-1.4716639052145493
0.1617250743446014,-3.05536608986557,-2.4067157334146034,-1.6619884577453294
0.5262606360102859,-2.7943322980371743,-2.2341410389625285,-1.6359505213901977
0.2926132844429133,-3.282564367822314,-2.7056592324824837,-1.7962625416170306
0.42976515258125,-3.593082302506114,-2.362329528126417,-1.7042886698280295
0.3786616519803726,-3.1508684755983216,-2.307448932328444,-1.6757101409890227
0.4600652066704519,-3.1059029926118438,-2.3489389519766606,-1.7002003647960424
0.3465578115182064,-3.1400238158748337,-2.388401727616589,-1.751812585867885
0.3686869488593995,-2.984216662559982,-2.274592911480394,-1.6061776918557449
0.6295795425828777,-2.801125019335677,-2.1669146545233824,-1.4756570574700072
0.4492296000813758,-2.9471177343533705,-2.1767547994758085,-1.5398031823697358
0.3350537837755171,-2.963912287265065,-2.292312792967809,-1.5947378209802927
0.4392824230614584,-3.15530706569838,-2.622374358318432,-1.820316858431984
0.5639225750702725,-2.93930076592168,-2.4039340143436343,-1.7643964233139775
0.5708300727189461,-2.7925503361042785,-2.198643618184956,-1.6608269796093849
0.45900063810121,-3.017459876247269,-2.2254709647267323,-1.7516932776279153
0.4691459258918207,-2.78493501083527,-2.0404365271915967,-1.3016008016060578
0.584967097710566,-2.886724227375602,-2.151474237865263,-1.7453624060756263
