w_0,gamma_0,gamma_1,gamma_2
0.46830384910418865,-2.9399321715145135,-2.3300722585201927,-1.6802510576866272
0.38974803349691567,-3.0916300993302728,-2.3660872370222226,-1.6726925954078933
0.47152281313367944,-2.9995541050522387,-2.3503744584772845,-1.6976904346920556
0.34454298554736984,-3.1787704757447584,-2.3732387596705427,-1.6510324159498118
0.44920298761345906,-3.0780976278598775,-2.3349881990471104,-1.4943150910478575
0.4991538784404364,-2.962159920866432,-2.3124268052539247,-1.6615857800240168
0.336824252216495,-3.2341810800822794,-2.4321420887306067,-1.7686328245419332
0.5140566137328972,-2.8425644340376848,-2.3405506854647804,-1.663118621247876
0.369173590875411,-3.0212413508785767,-2.437518693325794,-1.7503432653267035
0.4288890889837866,-3.111371397376946,-2.389963410888662,-1.7463387883677837
0.4640163193035533,-2.9127748533750335,-2.2106002353198986,-1.5799530741015493
0.4042644969263549,-2.9983716079872273,-2.4406433474007514,-1.6776436101245698
0.4440420068151348,-2.8463082368292842,-2.2465641963042873,-1.5835583534654591
0.525437539880177,-2.909919589377766,-2.203734815303606,-1.54722162737586
0.4324447488040279,-2.8397644585485198,-2.3671169286693554,-1.622442548562617
0.3699688773602225,-3.0734755402962213,-2.2818085542394377,-1.63674457451887
0.44683359881677026,-3.0992396072318837,-2.313527822210623,-1.69287325419784
0.42672707211412714,-2.974545292385262,-2.3548543627193217,-1.6584799331708386
0.4145639362434383,-3.1472388322775577,-2.430322746479017,-1.694322601780284
0.40377309556127733,-3.17267034037363,-2.495179098085026,-1.7418508159987443
0.45491758797169135,-2.764536422964431,-2.1620416274546193,-1.495558619563066
0.32365435682749805,-3.3033897614739764,-2.427756419519365,-1.7202811112410756
0.4074744290239358,-2.9738204734543174,-2.4116686598843704,-1.6846246751092084
0.36510868544769487,-3.0884702168743994,-2.356790799584467,-1.6825531466116337
0.4727843765662077,-2.8238831468570043,-2.263974989540393,-1.5545861137834538
0.39465424085629297,-2.881934678326086,-2.272663080811829,-1.5434929863189555
0.5121281911120223,-2.9184427995922517,-2.242420377003988,-1.5665526914069139
0.5173619218978698,-2.92297136016777,-2.3048156457846884,-1.595601045795613
0.3957466579656799,-2.967012955176167,-2.3739918818521697,-1.675717865640947
0.2894427331934129,-3.115194603102165,-2.5078612567736305,-1.8299477943107758
