w_0,gamma_0,gamma_1,gamma_2
0.4510034972074998,-2.9560938520986717,-2.325044311735328,-1.6678762611983244
0.45300213655286853,-2.8310777756972088,-2.2567149973790603,-1.5323418765893388
0.44673049237786,-3.0744987133643544,-2.4113162367388785,-1.714163505503756
0.45196466950074393,-2.9587886818844304,-2.3096843344145612,-1.6529085137679116
0.43804922883259984,-3.031004281659287,-2.3378887720256674,-1.7292433024805829
0.4488915808711574,-3.0595019774614234,-2.3567919658993093,-1.6893661987600723
0.46954824234798165,-3.017672589724107,-2.3948106394598025,-1.7018211585385465
0.47043213215277074,-2.9705166027733547,-2.314892314919297,-1.6578730183119461
0.43589853037299703,-3.074808619783441,-2.360522708300664,-1.7054766145485738
0.40948895486358455,-2.9907737662692093,-2.4032074456398607,-1.7002203290991647
0.48772792609436794,-2.884859689030688,-2.3058904114506316,-1.6026640615695307
0.4657492200209974,-2.9642736172807673,-2.3387492147291558,-1.647209944526465
0.467206046168649,-2.931761051524943,-2.3045881884118975,-1.6282742315437204
0.44730286913962813,-3.0059476686924786,-2.3406783526921227,-1.657845879309081
0.4954352871922788,-2.897966153618192,-2.297435404510882,-1.6260740528673263
0.488473197409615,-2.839547091782193,-2.214847372632158,-1.559386730322913
0.42991551847726106,-3.0062483982815422,-2.34285873859926,-1.6384042955550229
0.4465633180555439,-2.996858323196457,-2.386023250232084,-1.6754047440553017
0.43850886754986035,-3.0303258914432933,-2.3602593804877072,-1.6669394271689735
0.536132772988168,-2.8975107689439388,-2.217243000947052,-1.5866339570883181
0.45937998473253533,-2.84037000480724,-2.2175637429863366,-1.553367079142348
0.48739123836794745,-3.06725067189455,-2.3371705942729024,-1.6697907637434388
0.3858942987441583,-2.9939955740460147,-2.385995686431811,-1.6810779462536745
0.42335629149098475,-2.956873644343029,-2.314839724060483,-1.6667453247483273
0.43758664538571246,-3.0572009321127136,-2.3756450367851047,-1.692791344152763
0.4899661013683245,-2.8553675348974554,-2.2504104860932514,-1.5925942954115917
0.42449596586828,-3.0121655179033757,-2.3634634148567435,-1.638934077829425
0.43214534680581396,-2.9261735541020797,-2.309931804919141,-1.6532324685302695
0.41038317313227607,-3.0823637640300836,-2.400768467023671,-1.7079169470876792
0.44909354958360775,-2.8793284583007566,-2.2245223954839086,-1.5677453492917262
0.45902705906187397,-2.9910637267293247,-2.3143297181192843,-1.622058154943122
0.41880492163830707,-2.933830002088317,-2.285329622000448,-1.6040182644744088
0.5009660763125241,-2.9454650787520595,-2.286574854722661,-1.6441573957385751
0.4470231838980971,-2.9558513439374487,-2.2543889428983377,-1.6087296567387457
0.4700644306914679,-2.9237644905260862,-2.2468366738283096,-1.6182821087518453
0.40293307471464557,-2.992324381799938,-2.38632234901378,-1.6745945368632678
0.4405621777527009,-3.0009583198829053,-2.379220423327727,-1.679804187150112
0.43957548373882854,-2.9584724904673,-2.304392046677864,-1.6233105918033133
0.39762960584349605,-3.0006501606592004,-2.3651115445527067,-1.6956422469586865
0.45924460191003424,-2.961417320348064,-2.3218085870615055,-1.655283525713823
0.4374687065484446,-3.0126264326692365,-2.3508795963470055,-1.6763361453844081
0.43997492012361766,-3.009150954049122,-2.337347132648565,-1.6611796147522366
0.4886283255555146,-2.9490524273691925,-2.3196082216167495,-1.618318529029833
0.45295035156555213,-3.0132583387893117,-2.363520878921008,-1.7207022247279056
0.4461328322686699,-3.0037631608266993,-2.3068103287546684,-1.663078168996769
0.5019628532043031,-2.8544266995013334,-2.2622645820135694,-1.5600161513789577
0.47956219512137405,-2.9464056480660368,-2.3440174627788477,-1.6405396000669152
0.41164032588506877,-2.9606856719881525,-2.3451219048710428,-1.6792169207913858
0.451938578365668,-2.9626172605138166,-2.331918211377946,-1.6415176898064037
0.41800202949231646,-2.9237959282017134,-2.304530874958231,-1.601509464676325
0.48054864010584536,-2.9302592568845913,-2.2778093222037645,-1.589534277678302
0.4392246435049739,-2.9297663741754874,-2.289606167615004,-1.5800722142700352
0.48417592286965205,-2.954019141485582,-2.3284481714959915,-1.6571415221663073
0.49047695686423226,-2.8853054652657675,-2.2831207741329864,-1.6042484507047294
0.43633611535000744,-3.000981781818023,-2.3414089526427886,-1.656054721819472
0.4261144437732617,-3.015578276451391,-2.3841822261723418,-1.6655134279964845
0.4236644412545515,-3.035327573814336,-2.3185023809501923,-1.6291183681040171
0.46507681613541607,-2.922405137619208,-2.305260825501191,-1.6165280387037726
0.45508661171886994,-2.945404434405684,-2.2576220855617746,-1.5833842351251461
0.4638885505264867,-2.9642242845508995,-2.3573593082513598,-1.6610169307618956
0.4499903786154274,-2.9650730197998585,-2.2884636254534545,-1.6170816209291494
0.4432274679072386,-2.9628864490362075,-2.3252512714358717,-1.6413512277746753
0.4605357844373755,-2.90471856627069,-2.3359502282260376,-1.637846583860806
0.46654205341203553,-2.9342159084697124,-2.2649291389428208,-1.6576725150912786
