w_0,gamma_0,w_1,gamma_1,w_2,gamma_2
0.229946069198778,-2.7901740783688087,0.3640156296254888,-2.178855988933394,0.3749324456516028,-1.5206881479639829
0.4616849398666873,-3.2136184798373866,0.2486659685015412,-2.521282921726552,0.3339349270435681,-1.768369100629623
0.3345817648210207,-2.8710956836388406,0.466737783106904,-2.367229607382551,0.4455010824084466,-1.568112692932483
0.3730046213673929,-2.9763145986555823,0.3808010065096702,-2.296319867025113,0.4350719617185168,-1.5407892355231096
0.268472547387278,-2.9646790266477545,0.4882489603543348,-2.39118500441853,0.4709221847495081,-1.5307735471896209
0.4105710596734777,-2.959309189184043,0.3462607990309687,-2.3747493802199755,0.2902335910929959,-1.6529633511879651
0.288656474894621,-2.992152775590487,0.3989682101256509,-2.3944685107929216,0.4527459581210142,-1.6464983579804653
0.2287511761729199,-2.9191139922459297,0.4090178241800907,-2.342663734651792,0.4497918441795043,-1.7758008509111
0.2771342987732922,-2.8553980266546968,0.3485275020172289,-2.4049550696575226,0.4113133987901149,-1.558549140950688
0.5207947429263305,-2.644941978651852,0.4796181849196609,-2.1250126185981464,0.4665822894330982,-1.4320123887961602
0.4843444595563491,-2.8947390073663657,0.3940380052806042,-2.3294599766828163,0.4105141932636353,-1.668177968055735
0.5245005526637948,-3.052516404361547,0.5225050832896807,-2.512506282993592,0.5089846842220364,-1.7986228326252216
0.426525340745495,-2.959897130865881,0.534125575675927,-2.249837462869146,0.4639497139960223,-1.6962832937319374
0.4249135035793801,-3.114699910726588,0.3988222945586496,-2.6831742024519047,0.3041426602122165,-1.8605886512694905
0.5516093743670818,-2.9761722507675707,0.587142810580354,-2.3352084492889675,0.4293561774877408,-1.6626470144698695
0.4592868062107358,-2.8179485434050986,0.4863272161782788,-2.206563087061461,0.4619357522221694,-1.53955559263038
0.1008635458912882,-3.1743222544081893,0.4368305864965122,-2.5192490112880006,0.3694709403770021,-1.9930607239972928
0.674943618646642,-2.6849154237278063,0.5532691192054561,-2.2886143024093464,0.6001736498923208,-1.6549767686303791
0.4801647701272274,-2.7402290898691186,0.5558930133039317,-2.075984580884637,0.4571606726724851,-1.5108671595586023
0.5245005526637948,-3.052516404361547,0.4238559416984781,-2.5133767778801794,0.5235070006300656,-1.6705673028315535
0.1693995368543679,-2.9937166596148352,0.3456946766280444,-2.323863865519248,0.3863575924696006,-1.7293435896433935
0.3221602544342731,-2.762475619546783,0.4361040415864855,-1.9893587140399005,0.3346726725968743,-1.3201968499844094
0.268472547387278,-2.9646790266477545,0.3357013862513879,-2.413674429083265,0.4108352963329735,-1.7793925664817545
0.3469547036650557,-3.0847472571841603,0.3678780181674493,-2.379337525031548,0.4132984515083491,-1.76238749571429
0.4616849398666873,-3.2136184798373866,0.424116486087915,-2.4165032637256485,0.2897957422010954,-1.7865773853856677
0.1550054433626962,-2.9193978199755923,0.18606954326044,-2.436577404245116,0.1820210066221129,-1.6392562024914876
0.3802229678083705,-2.7189593667388974,0.4594445731542151,-2.1828731296989825,0.5085183802953808,-1.508421457191102
0.5834840288046234,-2.949964950303535,0.4594700198351815,-2.315349124626497,0.4535434975908632,-1.660996343895987
0.3950935718381096,-2.64140042447593,0.4754225224127238,-2.071310773716984,0.5229078791479503,-1.4430864002258683
0.280110330711831,-2.821165581486923,0.3688846248298755,-2.3710593391255257,0.4764594691977073,-1.5391375262934035
0.2262400425371528,-3.022138363294085,0.358372195292891,-2.388399260628932,0.328895031517081,-1.6258495741497136
0.3250252070490697,-3.2865552936344686,0.4730972842585471,-2.545947931567746,0.4269321824391741,-1.7380293667661335
0.4625444499975041,-2.799594246731852,0.4569465719071086,-2.112004726594465,0.4394039562095165,-1.416745732964337
0.456694135237633,-3.353949953599708,0.346679642857675,-2.332930875204376,0.4862382001249158,-1.6168949089698206
0.4553098318907382,-2.931073820037594,0.3660386618425547,-2.429662047674678,0.4160992079367596,-1.6861800248073096
0.3250252070490697,-3.2865552936344686,0.3636265180758834,-2.4431534516475266,0.3674508754396463,-1.7839264327498512
0.337047715155881,-2.9085539430915035,0.4458269029070782,-2.1613469594806607,0.3225825842366119,-1.5585337962585062
0.5859728574360501,-3.242804920112373,0.4500724124587192,-2.499459448060348,0.456438566284568,-1.916500553680146
0.6309561049808335,-2.8557314420896662,0.4561944123458761,-2.1728112139514737,0.4215746041403044,-1.562785932300837
0.5204879988554523,-2.544449106378254,0.5081243404926068,-2.0407333604735656,0.559612849687846,-1.3836519316720872
0.5878223212114903,-2.941089465253374,0.4252810523652661,-2.444705735507533,0.5301890749455463,-1.7552908292118012
0.5759692583531262,-2.666182087474323,0.5966052631237914,-2.1291160234490363,0.5524620044322982,-1.5243403714276744
0.1562853387553133,-3.089550149818476,0.4117285097769987,-2.4724903748102838,0.4473538517052509,-1.6412584586639782
0.4197318410430471,-2.862885979728925,0.5857152191559234,-2.311063632769825,0.4305383795379047,-1.6330843020281938
0.3265629468483586,-2.8738213139655047,0.4222425365090255,-2.258349192772761,0.355419139175179,-1.6042674024851746
0.2419120391136267,-3.1278711647982638,0.480224524888136,-2.2963315577365444,0.4426100336674604,-1.7234565090601457
0.3469547036650557,-3.0847472571841603,0.4193708921232819,-2.537756378246732,0.4120330310844722,-1.7808847341793972
0.6113567738798164,-2.7708154693856963,0.5349420308696513,-2.239066062754843,0.4415695525949593,-1.62502967467243
0.4391206367076882,-2.8410938454714576,0.4757533379566082,-2.2842347795197124,0.3314814707514167,-1.575325588953534
0.5426843687832406,-2.9001294056317377,0.5554719987335773,-2.226638553278465,0.5114850386198462,-1.577881383298236
0.456694135237633,-3.353949953599708,0.4426393993323142,-2.6132426631234447,0.380361282417173,-1.8822429384167747
0.5014585363959023,-2.946057664475544,0.4030511799330579,-2.3237797597834264,0.3623295281074429,-1.5546230301485915
0.4970334138140954,-2.626578946051472,0.5095784496778412,-2.002796909016631,0.4597253009596074,-1.4023662614694077
0.2201219944986925,-3.2258621680790105,0.4524958912010139,-2.406403015626096,0.4939006072023056,-1.7754946606889694
0.5145684392403155,-2.9418540908473587,0.5389812099522902,-2.4083093320954174,0.6003584257594586,-1.6403153744606582
0.5032048587468951,-2.662387681684623,0.6237821061602339,-1.983181503919005,0.4568538816826448,-1.3886279542272435
0.4375847258141661,-3.207631866589203,0.4693245097410968,-2.5022943404717086,0.3556946282190471,-1.7265731673110214
0.5516093743670818,-2.9761722507675707,0.3347953538886957,-2.2571219704113434,0.3374691508995038,-1.5549757588282924
0.1008635458912882,-3.1743222544081893,0.3534452118986607,-2.444443183943664,0.2508092001645381,-1.8659822091024387
0.3321175158391219,-2.9865250273633746,0.5640107366404202,-2.271721255783362,0.5059340086245425,-1.586157294371656
