w_0,gamma_0,w_1,gamma_1,w_2,gamma_2
0.4889262134883366,-2.8175404599629092,0.47905342120628747,-2.19432480464236,0.43791523585318787,-1.5974103588154491
0.37757823306361465,-3.0065849728439082,0.4519076263857351,-2.389456070306529,0.4252902477930584,-1.6358251622625666
0.46458096359707324,-2.8901902325242683,0.47429125311034315,-2.2547031329219767,0.4630215194489838,-1.5803504184852046
0.45811211298675564,-2.9167033165671414,0.4896578798727516,-2.2542756401838413,0.42876625658583367,-1.59277659049321
0.44425199270351723,-2.966847524373913,0.43080992492275516,-2.3469255660748956,0.4051911009936392,-1.6603846127987918
0.4343624724182346,-2.9267258112957597,0.44450872506680905,-2.2794891849981047,0.4311250779239703,-1.5732290918169367
0.5276063637014736,-2.9294051356336763,0.47278769983251806,-2.3143257843774103,0.48361100797943785,-1.6448288932218214
0.4199128955320938,-2.9189980418371086,0.4478255808409197,-2.2918599362574605,0.4522550459008059,-1.6350279919317432
0.44507476147681296,-2.872304004347769,0.44259468049938105,-2.2089294674854956,0.43108469420958695,-1.5495380762862718
0.39249566654456536,-3.006843579834304,0.39622306676996527,-2.4021299332012642,0.4273662029752422,-1.6763598900066945
0.4270724405517899,-2.98627751355256,0.39819857031316636,-2.379288009998698,0.41582132534956884,-1.638903608566095
0.42066862102806024,-2.9989612352063566,0.4418348868047039,-2.3091314605882842,0.42848650812650346,-1.6232704672194562
0.4837115714500616,-3.0046827427358127,0.44931931036274636,-2.3281882141343515,0.46058109116136153,-1.6595863756513731
0.43344958894157587,-2.8901824693564206,0.41339517008114646,-2.348155388348608,0.4347695668971799,-1.6697447997120143
0.4740523448073467,-2.952727310115807,0.45442845314106567,-2.3027805624928983,0.458070938889142,-1.6463410820875681
0.4639655809116877,-2.903821421493488,0.46027690765813895,-2.277208483673708,0.4208447624604527,-1.5720491705171298
0.4151351098424017,-2.9623261395320064,0.4322365147517315,-2.3617791834807416,0.43448897995161134,-1.6641810178764465
0.3879831252077866,-2.9983798749277257,0.4730034278221799,-2.3245397895080684,0.4199073153404553,-1.6605324460815782
0.39713215491787335,-3.0153719559905636,0.38580214358807885,-2.350986120982359,0.4527742973909153,-1.6483488388829772
0.3997145375995281,-3.001276384435256,0.4437148165084266,-2.336019550205793,0.42028472946301737,-1.6484862298498026
0.42993710869474216,-2.9501010496102524,0.4449967243780769,-2.3270492008890167,0.4480039200403894,-1.6638068848268044
0.43695488530662885,-2.938307818455433,0.39502418285279856,-2.2953059376017992,0.39415512973853656,-1.6084655378421662
0.42976996605015333,-2.9512098826013915,0.481882390937287,-2.3060486720921043,0.48399979269685195,-1.6417405494574355
0.4409102786037181,-2.938288378918494,0.46349669429294227,-2.3112237603511168,0.43663073923155615,-1.6257966124458723
0.42276023559745385,-2.972240818080923,0.43921632550882167,-2.3365306207796417,0.4476541631456891,-1.6415069032232017
0.44778824472194495,-2.8436744665757536,0.4710538948861449,-2.211779159538109,0.4639503057012184,-1.5466346096577883
0.4879396550532301,-2.9613493541098572,0.42987654905904227,-2.3432909387926144,0.43185233119287936,-1.6079720338635013
0.488400988132059,-2.9587688897969167,0.4387836889530432,-2.344232645819646,0.46395769773691437,-1.6607528408863814
0.4692099009174966,-2.8898770021209135,0.44237942029650007,-2.2805116715884646,0.4554184653835326,-1.5978656998459886
0.568488153091218,-2.854858482002726,0.5032666586535622,-2.2196076745482762,0.47809630236060685,-1.5797355056032991
0.40358331791901847,-2.987382976748258,0.43173889210947597,-2.287481687603963,0.45397503363675307,-1.6038598019846844
0.510244319840905,-2.9562656832639407,0.41237617210573063,-2.337471163995309,0.41938442413234894,-1.645041933836365
0.4717219151899269,-2.9679594589307206,0.46078884673646847,-2.3502883396540297,0.4610534350146674,-1.6604214233822108
0.4265654667594315,-2.963414279802456,0.44699746771405796,-2.344727403696323,0.43537212554739946,-1.6470657197101877
