,w_0,w_1,w_2,gamma_0,gamma_1,gamma_2
0,0.4845049503548584,0.4557849334336287,0.4761774994271723,-3.21186595960487,-2.474535597789046,-1.8326987916802813
1,0.401600892369179,0.457126627979274,0.4456443482915634,-3.101724437393968,-2.4400672433680053,-1.6836601441923416
2,0.6164750444288302,0.4584966373803267,0.4843170186766896,-3.079134297956005,-2.497480291275949,-1.7237224308169448
3,0.3767753779854834,0.3754990240542343,0.4299041011168176,-3.068092056706062,-2.297046180850334,-1.727967198706381
4,0.3495288433373141,0.3586269081430373,0.5054172621138028,-2.926269742319184,-2.5081859676159746,-1.6841747940132443
5,0.3096242560685339,0.3230300406603021,0.4726460233061975,-3.2887994045956237,-2.478251775210544,-1.826503212856589
6,0.3717692608208258,0.3936038115455853,0.3847904988288914,-2.931074417724211,-2.349271292360327,-1.5651451842256543
7,0.5392615416752121,0.4083046455197603,0.4181421903486972,-3.1828803261044243,-2.431736615770606,-1.6998513747030506
8,0.3484598778027219,0.584841963243263,0.6049550670514471,-2.943775794670192,-2.276800574112353,-1.580554032853856
9,0.580359266802699,0.4021101862149479,0.3727336453281507,-3.2227642011350555,-2.69521398652364,-2.069530130775208
10,0.4185219759696887,0.3683761471853563,0.3341374214385329,-3.0738977550337974,-2.39468908410016,-1.710502015089269
11,0.421682569786838,0.4940001630429201,0.473852366304585,-2.808581813130176,-2.2325492378724023,-1.5453695880295828
12,0.4666800617523984,0.4938717017985355,0.310115943542343,-2.921304189960732,-2.248940069490444,-1.6497914882399969
13,0.5127310088176273,0.3984809380322979,0.3816454946752858,-3.087336797568017,-2.285600554992847,-1.487131514126285
14,0.4586988681084883,0.3631728649264983,0.3862549180497001,-2.99133670907004,-2.434688972539108,-1.724994207882451
15,0.2900880207632129,0.3056289459829386,0.3051839184655452,-2.968475359312845,-2.257028396361941,-1.5255341786574708
16,0.5430647113876426,0.4677870413664395,0.5088586924776068,-2.78573361393475,-2.2446894985875314,-1.565696322379573
17,0.5072973835373967,0.4673951660643939,0.3699578521535506,-2.993420873602421,-2.419985250930297,-1.896818682910916
18,0.4845980107211699,0.4806146155066038,0.5087795594345228,-3.0842076177227926,-2.4357309324811545,-1.6694249313635765
19,0.5571730674232623,0.5784282805263237,0.5183193897529207,-2.902683037142053,-2.360195077837656,-1.5878099948634452
20,0.6193327760094709,0.3536147750353365,0.4159911228399258,-3.130106829650669,-2.5779100697286035,-1.9151204226032508
21,0.5168680208832457,0.4489188639553211,0.2909237600084561,-3.0275961324151868,-2.384221591204262,-1.7475025488597142
