,A,BBB,BB,B,CCC/C
MM,0.32079619715323154,0.3052910734050114,0.34425506169993114,0.32802652316160996,0.35192348999999484
MLE1,0.5378761710456441,0.5071745696131205,0.40227045602361006,0.3454046740691857,0.33326611236130066
MLE2,0.25796213288116837,0.30810676775229184,0.28655602823100756,0.329598803734022,0.23400286974099785
MLE3,0.30037574038478854,0.30037574038478854,0.30037574038478854,0.30037574038478854,0.30037574038478854
