,A,BBB,BB,B,CCC/C
MM,-3.274097580352716,-2.8865426119490847,-2.3842278912651227,-1.728911139866942,-0.6770330266259245
MLE1,-3.169554212177444,-2.8030945529131905,-2.365630785040319,-1.7280865455767747,-0.6574256413452311
MLE2,-3.257325807562323,-2.8873510250877668,-2.3834128793274276,-1.7302890935440762,-0.67635585788687
MLE3,-3.2548976827110403,-2.8901576627348744,-2.383285698474595,-1.732810795835997,-0.6737617107208406
